Cód. Barras/Etiq.,Embalagem,Curva ABC Qtd.,Caderno de Ofertas,Custo Médio Unit.,Preço Venda Unit.,Preço Oferta
0070341071861,ACETONA ACEMAR PRO 100ML,B,,"2,52","3,90","54,60"
0070341071861,ACETONA ACEMAR PRO 100ML,E,,"2,62","3,90","66,30"
0070341071878,ACETONA ACEMAR PRO 200ML,C,,"4,73","6,90","82,80"
0070341071878,ACETONA ACEMAR PRO 200ML,E,,"4,73","6,90","41,40"
0070341071885,ACETONA ACEMAR PRO 500ML,C,,"9,21","14,90","104,30"
0070341368183,ANTITRANSPIRANTE PRINCIPIA CLOR ALU+TREA+PANTE-02 70ML,E,,"27,30","39,00","78,00"
0070341368190,ANTITRANSPIRANTE PRINCIPIA CLOR ALU+PANT+BISAB AD-03 70ML,E,,"27,30","39,00","273,00"
0070341368299,PROT SOLAR PRINCIPIA CORPORAL FPS45 PS-03 200ML,E,,"34,30","49,00","245,00"
0070341368305,PROT SOLAR PRINCIPIA CORPORAL FPS99 PS-03 200ML,D,,"62,30","89,00","178,00"
0070341368305,PROT SOLAR PRINCIPIA CORPORAL FPS99 PS-03 200ML,E,,"62,30","89,00","178,00"
0070341370810,AGUA OXIGENADA ACEMAR 10 VOLUME 90ML,C,,"1,44","2,90","11,60"
0070341370827,AGUA OXIGENADA ACEMAR 20 VOLUME 90ML,C,,"1,44","2,90","20,30"
0070341386064,REMOVEDOR DE ESMALTES SEM ACETONA MORANGO 90ML ACEMAR,E,,"2,86","4,50","45,00"
0070341386095,REMOVEDOR DE ESMALTES SEM ACETONA UVA 90ML ACEMAR,E,,"3,70","5,90","35,40"
0070341564530,SUPERCOFFEE CAFFEINE ARMY CHOCOLATE LINGUA DE GATO 220G,E,,"87,27","139,90","419,70"
0070341564554,SUPL ALIMENTAR KOALA SLEEP MORANGO 264G,E,,"87,25","130,90","130,90"
007079,HIPOGLOS BARREIRA BRANCA CONCENTRADA 40G,C,,"12,67","28,80","115,20"
007079,HIPOGLOS BARREIRA BRANCA CONCENTRADA 40G,E,,"11,16","28,80","172,80"
0070942003247,ES DENT GUM DEEP CLEAN C/2 UNID,E,,"16,07","24,90","49,80"
0070942003254,ESC DENT GUM DEEP CLEAN C/3 UNID,E,,"21,13","31,90","95,70"
0070942003537,ESC DENT GUM INF TROLLS ,E,,"26,79","37,90","37,90"
0070942003551,ESC DENT GUM TROLLS C/2 UNID,E,,"15,58","21,90","-21,90"
0070942005197,FITA DENTAL GUM ULTRA DESLIZANTE MENTA,E,,"10,68","16,50","16,50"
0070942005210,FIO DENTAL GUM DUAL DEFENSE CHA VERDE C/ MENTA,E,,"10,68","16,50","16,50"
0070942005227,FIO DENTAL GUM PRO RESIST MENTA,E,,"15,59","23,50","23,50"
0070942005494,ESC DENT GUM MULTI CLEAN C/2 UNID,E,,"8,52","12,90","51,60"
0070942121842,ESC DENT GUM ORA-CLEAN,C,,"4,64","7,90","23,70"
0070942125925,ESC DENT GUM SENSITIVE CLEAN ,E,,"11,88","16,90","16,90"
0070942306805,GUM FLOSSER ORIGINAL C/20 UNID,E,,"10,85","15,90","143,10"
007279,VOLTAREN 75MG C/1 AMP 3ML ,E,PROPAGADO ,"0,00","5,37","34,80"
0073796452834,KIT OMRON REPOSICAO P/ INALADOR ,E,,"35,35","53,50","107,00"
0073796842895,BALANCA DIGITAL OMRON CORPORAL HN289,E,,"98,00","147,50","295,00"
007526,TESTE DE DIABETES,,,"0,67","8,90","-1.851,20"
007534,ATENSINA 150MCG C/30 CPR ,E,PROPAGADO ,"9,22","12,44","10,08"
007621,TORSILAX C/10 CPR ,A,SIMILAR PRA VENDER MUITO!,"2,66","15,24","547,20"
007621,TORSILAX C/10 CPR ,B,SIMILAR PRA VENDER MUITO!,"2,66","15,24","1.094,40"
0076660008625,CR ADESIVO FIXODENT ORIGINAL 21G,B,,"22,80","33,90","33,90"
0076660008625,CR ADESIVO FIXODENT ORIGINAL 21G,E,,"17,70","33,90","101,70"
0076660008649,FIXODENT ORIGINAL 39G,C,,"57,60","79,90","399,50"
0076660008649,FIXODENT ORIGINAL 39G,D,,"46,35","79,90","79,90"
0076660008649,FIXODENT ORIGINAL 39G,E,,"46,35","79,90","79,90"
0076660008663,CR FIX PROTESE FIXODENT ORIGINAL 68G,C,,"81,91","98,99","98,99"
0076660008663,CR FIX PROTESE FIXODENT ORIGINAL 68G,E,,"66,53","98,99","494,95"
007789,ALGINAC 5.000 C/1 AMP I+1 AMP II,D,PROPAGADO ,"7,21","12,16","88,65"
007789,ALGINAC 5.000 C/1 AMP I+1 AMP II,E,PROPAGADO ,"7,21","12,16","19,70"
007822,CITONEURIN 5000 INJ C/1 AMP I+ AMP II,A,PROPAGADO ,"4,70","7,07","63,03"
007822,CITONEURIN 5000 INJ C/1 AMP I+ AMP II,B,PROPAGADO ,"4,65","7,07","-11,46"
0079400500205,DES DOVE ALL DAY POWDER 45G,D,,"16,67","25,90","103,60"
0079400500205,DES DOVE ALL DAY POWDER 45G,E,,"16,67","25,90","25,90"
0079400500908,DES DOVE ALL DAY FRESH 45G,C,,"17,45","25,90","155,40"
0079400500908,DES DOVE ALL DAY FRESH 45G,E,,"16,28","25,90","155,40"
00800976,PERMANGANATO DE POTASSIO 100MG C/10 UNID  ,E,,"2,04","3,20","12,80"
008186,LIXA DE UNHA LARGA (FRACIONADO),A,,"0,24","0,50","227,50"
008186,LIXA DE UNHA LARGA (FRACIONADO),B,,"0,24","0,50","17,50"
008186,LIXA DE UNHA LARGA (FRACIONADO),C,,"0,33","0,50","6,00"
0085461,LEITE NESTLE NAN SUPREME 1 800G,C,LEITE,"82,17","125,61","110,00"
008807,PEROLA C/28 CPR REVEST (FRACIONADO),D,PROPAGADO ,"30,32","42,10","68,22"
008807,PEROLA C/28 CPR REVEST (FRACIONADO),E,PROPAGADO ,"30,21","42,10","102,33"
009163,LIXA DE UNHA COMUM (FRACIONADO),A,,"0,18","0,50","1.315,00"
009163,LIXA DE UNHA COMUM (FRACIONADO),C,,"0,11","0,50","6,50"
010068,"VERSA 40MG/0,4ML C/1 SERINGA (FRACIONADO)",B,PROPAGADO ,"56,49","81,69","264,68"
010068,"VERSA 40MG/0,4ML C/1 SERINGA (FRACIONADO)",E,PROPAGADO ,"56,68","81,69","397,02"
010664,ALLESTRA 20 20+75MCG C/21 CPR (FRACIONADO),B,PROPAGADO ,"22,65","31,20","151,68"
010664,ALLESTRA 20 20+75MCG C/21 CPR (FRACIONADO),E,PROPAGADO ,"22,26","31,20","75,84"
010681,DEXADOR INJ (FRACIONADO),C,PROPAGADO ,"12,02","16,66","212,55"
010681,DEXADOR INJ (FRACIONADO),E,PROPAGADO ,"12,27","16,66","56,68"
010804,LUFTAGASTRO PRO SACHE 10ML,B,01 - Preço Controlado Plugpharma,"2,92","4,43","32,16"
010804,LUFTAGASTRO PRO SACHE 10ML,B,02 - Preço Controlado Plugpharma,"2,47","4,43","20,10"
010804,LUFTAGASTRO PRO SACHE 10ML,E,03 - Preço Controlado Plugpharma,"2,99","4,43","76,38"
010806,TALA METAL C/ESPUMA 12X250MM,E,,"1,10","3,50","168,00"
011471,ALLESTRA 30 C/21 DRG (FRANCIONADO),C,PROPAGADO ,"22,29","30,77","174,51"
011471,ALLESTRA 30 C/21 DRG (FRANCIONADO),E,PROPAGADO ,"21,95","30,77","74,79"
011729,GESTINOL C/28 CPR (FRACIONADO),D,PROPAGADO ,"34,82","54,39","132,18"
011729,GESTINOL C/28 CPR (FRACIONADO),E,PROPAGADO ,"33,97","54,39","132,18"
012182,PRIMERA 30 C/21 CPR (FRACIONADO),B,PROPAGADO ,"19,36","30,38","49,22"
012182,PRIMERA 30 C/21 CPR (FRACIONADO),C,PROPAGADO ,"21,92","30,38","344,54"
012184,SIBLIMA 60/15MCG C/24 CPR(FRACIONADO),E,PROPAGADO ,"24,41","36,63","267,12"
012706,MICROVLAR C/21 CPR (FRACIONADO),B,PROPAGADO ,"6,59","9,71","31,48"
012706,MICROVLAR C/21 CPR (FRACIONADO),D,PROPAGADO ,"6,60","9,71","55,09"
012706,MICROVLAR C/21 CPR (FRACIONADO),E,PROPAGADO ,"6,60","9,71","70,83"
013023,MUNHEQUEIRA BEGE C/1 MERCUR,B,,"12,16","21,90","21,90"
013023,MUNHEQUEIRA BEGE C/1 MERCUR,C,,"12,34","21,90","-43,80"
013076,ENX BUCAL PERIOGARD COLGATE  S/ALCOOL 250ML,C,,"19,44","38,99","-77,98"
013354,OCULOS PARA LEITURA ,A,,"19,99","29,90","1.136,20"
013354,OCULOS PARA LEITURA ,B,,"19,99","29,90","2.122,90"
013355,OCULOS DE SOL,B,,"19,99","29,90","5.382,00"
013651,VALVULA PARA APARELHO DE PRESSAO,E,,"9,70","14,60","14,60"
013756,PENTE FINO SBRISSA,E,,"0,62","2,00","-2,00"
014503,GN IBUPROFENO 600MG C/10 CPR PRATI,E,02 - Preço Controlado Plugpharma,"3,25","9,67","41,10"
014605,CANFORA TABLETE,B,,"0,37","1,50","1.044,00"
014605,CANFORA TABLETE,E,,"0,00","1,50","79,50"
015238,BETATRINTA 5+2MG 1ML (FRACIONADO),B,PROPAGADO ,"18,47","25,83","502,32"
015238,BETATRINTA 5+2MG 1ML (FRACIONADO),E,PROPAGADO ,"18,39","25,83","62,79"
015594,SORVETE KIBON CHICABON ZERO PICOLE 63G,E,,"6,61","6,00","336,00"
015952,PEPSAMAR 230MG  C/10 CPR  MAST,E,PROPAGADO ,"5,49","7,53","171,30"
016772,PIETRA ED 2MG C/30 CPR (FRACIONADO),C,PROPAGADO ,"39,22","54,31","88,00"
017208,SELF RING LIGHT PARA CELULAR 3 POLEGADAS,E,,"21,90","32,90","32,90"
017279,PERF COLONIA EUDORA LA PIER TAMARAS EGIPCIAS 200ML,E,,"51,33","76,90","230,70"
017421,LIBERFEM 2MG C/63 CPR (FRACIONADO),C,PROPAGADO ,"30,46","47,71","231,90"
017421,LIBERFEM 2MG C/63 CPR (FRACIONADO),E,PROPAGADO ,"33,77","47,71","193,25"
017509,DEXALGEN NF INJ AMP C/2ML (FRACIONADO),B,PROPAGADO ,"13,05","17,53","156,20"
017785,TALA METALICA C/ESPUMA M 16X250MM,E,,"1,48","4,90","107,80"
017896,GN DROSPIRENONA+ETINILESTRADIOL 3+3MG C/21 CPR FRAC GERMED,E,BORA VENDER GENÉRICO 3.0,"8,38","46,61","80,97"
018389,"IUMI ES 3+0,02MG C/30 CPR (FRACIONADO)",C,PROPAGADO ,"37,00","60,22","975,60"
018389,"IUMI ES 3+0,02MG C/30 CPR (FRACIONADO)",E,PROPAGADO ,"37,00","60,22","146,34"
018568,GN DEXAMETASONA+TIAMINA+PIRIDOXINA+CIANOCOBALAMINA 1+2ML INJ,D,,"5,59","10,54","31,62"
018568,GN DEXAMETASONA+TIAMINA+PIRIDOXINA+CIANOCOBALAMINA 1+2ML INJ,E,,"5,71","10,54","31,62"
019080,"YASMIN 3+0,03MG C/21+7 CPR (FRACIONADO)",D,PROPAGADO ,"60,46","112,48","273,33"
019080,"YASMIN 3+0,03MG C/21+7 CPR (FRACIONADO)",E,PROPAGADO ,"60,68","112,48","364,44"
020087,LIXA DE UNHA PRETA MINI (FRACIONADO) ,C,,"0,08","0,15","-0,45"
020122,MEL PURO HONEY STICK 10G,A,,"0,73","1,00","6,00"
020122,MEL PURO HONEY STICK 10G,C,,"0,73","1,00","85,00"
020550,LIXA DE UNHA RICCA LIMA GLAMOUR GIRLS,E,,"2,25","3,50","3,50"
027084120134,HOT WHEELS HW BASICO REF C4982 ,B,,"11,29","17,90","268,50"
028201,ALMOTOLIA PLASTICA J PROLAR 250ML,E,,"2,50","5,00","5,00"
0300651418477,LACRIMA PLUS 15ML,C,PROPAGADO ,"27,83","58,52","142,23"
0300651418477,LACRIMA PLUS 15ML,D,PROPAGADO ,"26,64","58,52","142,23"
0300651481198,SYSTANE COMPLETE 10ML,D,PROPAGADO ,"63,86","89,53","435,12"
0310119021675,RENU GTS 15ML,E,PROPAGADO ,"25,36","35,01","94,53"
0310119052136,RENU PLUS GTS 8ML,C,PROPAGADO ,"17,49","26,85","43,50"
0310119052136,RENU PLUS GTS 8ML,E,PROPAGADO ,"15,45","26,85","21,75"
0310119052440,BOSTON SIMPLUS 120ML,E,PROPAGADO ,"53,40","73,55","132,40"
032587,NORIPURUM EV ENDOVENOSA 100MG/5ML ,B,PROPAGADO ,"14,44","18,91","321,72"
032587,NORIPURUM EV ENDOVENOSA 100MG/5ML ,C,PROPAGADO ,"13,83","18,91","520,88"
032603,ENJOY 50X4 CPR PHARMASCIENCE,D,SIMILAR PRA VENDER MUITO!,"3,51","4,68","-4,68"
032603,ENJOY 50X4 CPR PHARMASCIENCE,E,02 - Preço Controlado Plugpharma,"1,81","4,68","14,04"
032603,ENJOY 50X4 CPR PHARMASCIENCE,E,SIMILAR PRA VENDER MUITO!,"3,51","4,68","-9,36"
032744,SACHE MEL NATURAL ABELHA RAINHA SIF 1117 SMELLS 10G ,B,,"0,92","2,10","256,20"
032744,SACHE MEL NATURAL ABELHA RAINHA SIF 1117 SMELLS 10G ,E,,"0,92","2,10","317,10"
033831,ETNA INJETAVEL 5+3+2+20MG 2ML AMP,C,PROPAGADO ,"24,45","32,94","26,69"
033844,SORVETE KIBON ESKIBON MINI BOMBOM GELADO 117ML,E,,"10,89","13,00","429,00"
034245,CHOCALHO MORDEDOR CONTROLE VILA TOY PRETO,E,,"11,56","21,90","-21,90"
034246,BICO DE SILICONE MAMADEIRA NEOPAN ORTO N1 C/1 UNID,E,,"7,05","10,58","31,74"
034247,MORDEDOR PEZINHO VILA TOY AZUL,E,,"11,56","17,34","34,68"
034248,MORDEDOR PEZINHO VILA TOY ROSA,E,,"11,56","17,34","34,68"
034249,CHUP NEOPAN N2 ROSA,E,,"5,76","8,64","25,92"
034250,CHUP NEOPAN N2 AZUL ,E,,"5,96","8,90","0,00"
034252,MOUSE PAD MEDIHOSP,E,,"1,00","1,00","4,00"
034260,VALVULA P/ APARELHO DE PRESSAO 701 ,E,,"5,00","9,90","39,60"
034261,BIOFRASCO NUTRI ESTERIL BIOBASE,E,,"1,99","3,00","6,00"
034473,DESCON C/20ML,E,PROPAGADO ,"11,76","13,83","11,21"
034475,DESCON 120ML ,E,PROPAGADO ,"14,59","20,36","16,50"
034476,RINOSORO ALTO VOLUME INFANTIL C/15 SACHES,E,SIMILAR PRA VENDER MUITO!,"38,88","54,90","44,99"
034524,PASTILHAS VALDA EXTRAFORTE SACH 12G,C,,"5,86","8,88","106,56"
034551,"GN DROSPIRENONA+ETINILESTRADIOL 3+0,02MG C/24 (FRACIONADO)",E,BORA VENDER GENÉRICO 3.0,"23,88","56,72","97,24"
034555,LASIX 10MG/ML SUSP INJ C/1 AMP 2ML,C,PROPAGADO ,"2,12","5,90","23,90"
036060,AGULHA P/ INSULINA DE CANETA 23X5MM ,E,,"36,31","1,30","115,70"
036150,INTESTIN 2MG  C/4 CPR,C,SIMILAR PRA VENDER MUITO!,"0,35","2,25","53,72"
0382904917012,"SERINGA P/INSULINA BD ULTRA-FINE 0,5ML C/10 UNID",D,,"23,90","39,90","438,90"
0382904917012,"SERINGA P/INSULINA BD ULTRA-FINE 0,5ML C/10 UNID",E,,"23,90","39,90","119,70"
