ean,name,curve,book,price,drogal_price,drogasil_price,drogal_observation,drogasil_observation
"4145","MELHORAL INF C/8 CPR","E","02 - Preço Controlado Plugpharma","9,24","","31,99","",""
"4261","LIXA DE UNHA MINI (FRACIONADO)","E","","0,15","","","",""
"4272","PALITO UNHA 2 PONTA MEDIO FRACIONADO","E","","0,50","","","",""
"4274","PALITO UNHA GRANDE 2 PONTAS (FRACIONADO)","E","","1,20","","","",""
"4469","VERSA 40MG INJ C/1 SERINGA 0,4ML","E","PROPAGADO","59,97","","","",""
"4470","VERSA 40MG INJ C/1 SERINGA 0,4ML CX C/2","E","PROPAGADO","119,93","","","",""
"4474","ALGODAO APOLO 25G CX C/20","B","","65,90","","56,59","",""
"4478","ALGODAO APOLO 50G CX C/20","B","","87,90","","","",""
"4507","CEWIN 500MG C/30 CPR","E","PROPAGADO","25,13","","62,35","",""
"4546","CLEXANE 40MG INJ C/1 SERINGA 0,4ML","E","PROPAGADO","69,74","","","",""
"4578","SELENE C/21 CPR (FRACIONADO)","C","PROPAGADO","19,85","","","",""
"4613","FENAFLAN MENTHOLATUM PATCH C/1 ADESIVO CX C/12","E","","54,29","","","",""
"4620","ALGODAO APOLO 50GR","E","","3,90","","","",""
"4676","CR DENTAL COLGATE MAXIMA PRO ANICARIES 90G CX C/12","C","","54,90","","","",""
"4705","CR DENTAL COLGATE TRIPLA ACAO MENTA 90G     CX C/12","B","","74,90","","","",""
"4839","SUPRELLE C/28 CPR REVEST(FRACIONADO)","E","PROPAGADO","41,08","","42,19","",""
"4886","GELELE SLIME TRADICIONAL SORTIDO  CX C/12","E","","115,20","","12,99","","Leve 3 unidades por R$ 11,04 cada"
"4894","ADOCANTE ZERO CAL SUCRALOSE C/50 ENV CX C/6","E","","51,00","","","",""
"4896","ADOCANTE LIQ ZERO CAL SUCRALOSE 100ML CX C/3","D","","36,90","","","",""
"4907","TAMISA 30 C/21 DRG (FRACIONADO)","D","PROPAGADO","24,60","","105,99","",""
"4928","TANTIN C/28 CPR REVEST (FRACIONADO)","E","PROPAGADO","23,57","","","",""
"5000","BATERIA ENERGIZER 2032 CX C/5","E","","35,90","","225,00","",""
"5007","VERSA 60MG INJ C/1 SERINGA 0,6ML","E","PROPAGADO","100,82","","6,99","","Leve 4 unidades por R$ 5,24 cada"
"5010","PILHA ENERGIZER MEDIA CX C/6","E","","111,80","","","",""
"5019","ALICATE CUTICULA MUNDIAL FLEX CX C/6","C","","69,90","","55,92","",""
"5037","GELELE SLIME POTE COLOR SORTIDO CX C/12","E","","156,99","","","",""
"5040","LENCO PAPEL KLEENEX DE BOLSO C/10 UNID CX C/48","B","","97,90","","","",""
"5045","LENCO PAPEL KLEENEX CAIXINHA C/50 UNID CX C/50","B","","250,90","","","",""
"5056","SAB POM POM GLICERINADO 80G  CX C/12","B","","52,90","","","",""
"5059","SAB POM POM HIDRATANTE 80G  CX C/12","B","","47,90","","","",""
"5068","CORTADOR DE UNHA TRIM REF 12500 CX C/12","C","","84,90","","9,89","",""
"5073","CORTADOR DE UNHA TRIM REF 00343 CX C/6","E","","76,90","","","",""
"5078","PINCA TRIM PONTA REF 00345 CX C/6","C","","49,90","","5,99","",""
"5081","PINCA TRIM PONTA QUADRADA REF 53100 CX C/6","D","","50,90","","54,99","","Leve 2 unidades por R$ 41,24 cada"
"5106","FR HUGGIES RECEM NASCIDO C/18 UNID CX C/9","E","","293,90","","","",""
"5161","NORDETTE C/21 DRG (FRACIONADO)","C","PROPAGADO","9,98","","","",""
"5225","PINCA ENOX DEPILATORIA","E","","1,50","","","",""
"5291","PERIVASC 450+50MG C/30 CPR REVST","E","PROPAGADO","59,17","","","",""
"5325","PRIMERA 20 C/21 CPR (FRACIONADO)","E","PROPAGADO","24,61","","","",""
"5329","PROFENID 100MG INJ C/1 AMP 2ML (FRACIONADO)","C","PROPAGADO","5,39","","11,99","",""
"5508","GN LEVOTIROXINA SODICA 150MCG C/30CPR MERCK","E","BORA VENDER GENÉRICO 3.0","13,16","","","",""
"5547","ESPUMA BARBEAR NIVEA DEEP BLACK 200ML","E","","22,50","","","",""
"5602","SH PALMOLIVE KIDS MINION 350ML","E","","12,90","","","",""
"5628","GN NIMESULIDA 50MG/ML GTS FRAMBOESA 15ML(EMS)","E","BORA VENDER GENÉRICO 3.0","14,15","","","",""
"5733","TORSILAX C/4 CPR","E","02 - Preço Controlado Plugpharma","4,78","","","",""
"5736","ALICATE CUTICULA SANDY ESPATULA CX C/6","E","","59,90","","","",""
"5743","HASTES FLEXIVEIS ISABABY C/50 UNID CX C/12","C","","120,90","","49,53","",""
"5747","PINCA MERHEJE DECORADA CX C/12","E","","43,20","","","",""
"5752","TESOURA MERHEJE PONTA CURVA CX C/6","E","","115,90","","42,59","",""
"5755","LIXA DE UNHA TRIM NAIL CARE POLIDORA CX C/6","E","","63,90","","","",""
"5758","TESOURA MERHEJE RETA  CX C/6","E","","93,90","","","",""
"5760","NEOSALDINA C/4 DRG CX C/50","B","PROPAGADO","351,96","","","",""
"5782","DECONGEX PLUS C/4 CPR","C","01 - Preço Controlado Plugpharma","9,69","","","",""
"5797","NECESSAIRE KATY SOFY GRANDE REF 00004","E","","20,90","","72,99","",""
"5812","AGULHA P/CANETA SOL-MILLE INSULINA 5MM 31G ROXA","E","","1,00","","23,90","",""
"5816","AGULHA P/CANETA BD ULTRA-FINE INSULINA 5MM 31G ROXA","E","","1,90","","10,19","",""
"6285","ALLESTRA 75MCG C/21 DRG (FRACIONADO)","E","PROPAGADO","25,28","","","",""
"6295","GINESSE C/21 CPR REVEST(FRACIONADO)","E","PROPAGADO","23,49","","","",""
"6298","IUMI ES C/30 CPR REVEST(FRACIONADO)","E","PROPAGADO","44,98","","","",""
"6300","LYDIAN C/21 CPR REVEST(FRACIONADO)","E","PROPAGADO","19,48","","16,79","",""
"6306","MINIAN C/21 CPR(FRACIONADO)","E","PROPAGADO","29,65","","","",""
"6313","YASMIN C/21 CPR REVEST(FRACIONADO)","E","PROPAGADO","91,11","","","",""
"6444","OTOMIXYN GTS 5ML","E","SIMILAR PRA VENDER MUITO!","7,32","","2,09","",""
"6460","HAIR SPRAY KARINA FIXACAO FORTE 400ML","E","","23,90","","","",""
"6504","PRIMOGYNA 1MG C/28 DRG","E","PROPAGADO","42,86","","","",""
"6510","SYSTANE UL 10ML","E","","50,29","","","",""
"6643","SAB ACNASE  ACAO ANTIACNEICA 80G","E","DERMOCOSMETICOS","15,03","","74,99","",""
"6738","PROV COLONIA EUROESSENCE AZZUR 60ML","E","","0,02","","","",""
"6739","PROV COLONIA EUROESSENCE BELLE 60ML","E","","0,02","","","",""
"6740","PROV COLONIA EUROESSENCE FEROZE 60ML","E","","0,02","","10,99","",""
"6741","PROV COLONIA EUROESSENCE SEXY 60ML","E","","0,02","","","",""
"6768","PILHA RAYOVAC EXTRA ADVANCED AP AUDITIVO 10 CX C/6","E","","161,90","","","",""
"6771","PILHA RAYOVAC EXTRA ADVANCED AP AUDITIVO 312","E","","4,50","","","",""
"6832","DALYNE C/21 CPR REVEST (FRACIONADO)","E","","60,85","","","",""
"7013","AGULHA P/CANETA BD ULTRA-FINE INSULINA 4MM 32G VERDE","E","","1,50","","12,99","",""
"7029","CHICLETE TRIDENT FRESH INTENSE 8G C/5 UNID","A","","2,90","","7,65","",""
"7076","PROV BOCA ROSA BEAUTY CANETA DELINEADORA MEU GATINHO","E","","23,66","","","",""
"7078","PROV BOCA ROSA BEAUTY LAPISEIRA KAJAL CARBON BLACK","E","","15,90","","","",""
"7079","HIPOGLOS BARREIRA BRANCA CONCENTRADA 40G","E","","28,80","","14,49","",""
"7103","BRINDE SANAVITA COLAGENO SKIN ABACAXI LATA 200G","E","","50,44","","","",""
"7104","BRINDE SANAVITA COLAGENO SKIN CRANBERRY LATA 200G","E","","50,44","","46,09","",""
"7105","BRINDE SANAVITA COLAGENO SKIN NEUTRO LATA 200G","E","","50,44","","25,99","",""
"7108","PROV BOCA ROSA BEAUTY BASE MATE ANA COR 02","E","","28,90","","19,99","",""
"7109","PROV BOCA ROSA BEAUTY BASE MATE ANTONIA COR 04","E","","28,90","","8,99","",""
"7110","PROV BOCA ROSA BEAUTY CORRETIVO LIQ PEONIA COR 02","E","","20,99","","","",""
"7111","PROV COLONIA PARIS ELYSEES BILLION FOR MEN 8ML","E","","0,01","","32,90","",""
"7112","PROV COLONIA PARIS ELYSEES BILLION WOMAN LOVE 8ML","E","","0,01","","32,90","",""
"7113","PROV COLONIA PARIS ELYSEES GABY 8ML","E","","0,01","","","",""
"7114","PROV COLONIA PARIS ELYSEES VODKA BRASIL AMARELO 8ML","E","","0,01","","12,30","",""
"7115","PROV COLONIA PARIS ELYSEES VODKA EXTREME 8ML","E","","0,01","","","",""
"7116","PROV COLONIA PARIS ELYSEES VODKA LOVE 8ML","E","","0,01","","101,03","",""
"7117","PROV COLONIA PARIS ELYSEES VODKA NIGHT 8ML","E","","0,01","","","",""
"7127","CADERNETA 1/8 FLEXIVEL 96FLS C/10","E","","13,40","","6,75","",""
"7279","VOLTAREN 75MG C/1 AMP 3ML","E","PROPAGADO","4,35","","92,90","",""
"7426","PROSSO KM C/30 TABL MAST","E","","146,09","","","",""
"7441","PROV BRUNA TAVARES BATOM LIQ MATTE GABRIELA4ML","E","","3,38","","","",""
"7442","PROV BRUNA TAVARES BATOM LIQ MATTE BRUNA 4ML","E","","7,00","","","",""
"7443","PROV BRUNA TAVARES BATOM LIQ MATTE FLAVIA 4ML","E","","7,00","","","",""
"7444","PROV BRUNA TAVARES BATOM LIQ MATTE ROBERTA 4ML","E","","4,77","","","",""
"7445","PROV BRUNA TAVARES BELBET 2 EM 1 PRIMER/SOMBRA OFF WHITE 3ML","E","","7,00","","","",""
"7446","PROV BRUNA TAVARES GLOSS ALINE 6ML","E","","3,77","","","",""
"7447","PROV BRUNA TAVARES GLOSS GIOVANA 6ML","E","","3,77","","","",""
"7448","PROV BRUNA TAVARES GLOSS LUANA 6ML","E","","3,77","","","",""
"7449","PROV BRUNA TAVARES GLOSS MARINA 6ML","E","","3,77","","","",""
"7450","PROV BRUNA TAVARES GLOSS VANESSA 6ML","E","","3,77","","17,39","",""
"7452","PROV BRUNA TAVARES PO ILUMINADOR LIGHT CHAMPAGNE 5G","E","","10,62","","","",""
"7453","PROV BRUNA TAVARES CORRETIVO LIQ MULTICORVER COR L20 8G","E","","5,03","","","",""
"7454","PROV BRUNA TAVARES CORRETIVO LIQ MULTICORVER COR M10 8G","E","","5,03","","","",""
"7455","PROV BRUNA TAVARES CORRETIVO LIQ MULTICORVER COR M20 8G","E","","5,03","","","",""
"7456","PROV BRUNA TAVARES PALETA RED ROSE 14,4G","E","","30,32","","","",""
"7457","PROV BRUNA TAVARES PO ILUMINADOR LIGHT GOLDEN 5G","E","","10,62","","","",""
"7458","PROV BRUNA TAVARES BLUSH COLOR HIBISCO","E","","9,63","","","",""
"7459","PROV BRUNA TAVARES BLUSH COLOR MAGNOLIA","E","","9,63","","","",""
"7460","PROV BRUNA TAVARES MASCARA CILIOS HIGH VOLUME","E","","5,42","","","",""
"7461","PROV MICA ROCHA PALETA BLUSH ZODIAC SAGITARIO LET'S GO 7,5G","E","","17,88","","","",""
"7462","PROV BRUNA TAVARES SKIN BASE LÍQUIDA COR L10","E","","9,48","","","",""
"7463","PROV BRUNA TAVARES SKIN BASE LÍQUIDA COR L20","E","","9,48","","","",""
"7464","PROV BRUNA TAVARES SKIN BASE LÍQUIDA COR L40","E","","9,48","","","",""
"7465","PROV BRUNA TAVARES SKIN BASE LÍQUIDA COR L60","E","","9,48","","17,19","",""
"7466","PROV BRUNA TAVARES SKIN BASE LÍQUIDA COR M20","E","","9,48","","","",""
"7467","PROV BRUNA TAVARES SKIN BASE LÍQUIDA COR M30","E","","9,48","","","",""
"7468","PROV VULT BASE LIQ MATTE 2 EM 1 COR 02 30ML","E","","6,54","","","",""
"7469","PROV VULT BASE LIQ MATTE 2 EM 1 COR 03 30ML","E","","6,54","","","",""
"7470","PROV VULT BASE LIQ MATTE 2 EM 1 COR 05 30ML","E","","6,54","","","",""
"7471","PROV VULT BASE LIQ MATTE 2 EM 1 COR 07 30ML","E","","6,54","","","",""
"7472","PROV VULT BASE LIQ MATTE 2 EM 1 COR 09 30ML","E","","6,54","","23,59","",""
"7473","PROV VULT BASE LIQ MATTE 2 EM 1 COR 16 30ML","E","","6,54","","","",""
"7474","PROV VULT BASE LIQ MATTE 2 EM 1 COR 20 30ML","E","","6,54","","","",""
"7475","PROV VULT BASE LIQ MATTE 2 EM 1 COR 23 30ML","E","","6,54","","","",""
"7476","PROV VULT BATOM LIQ MATTW DISNEY PRINCESS ARIEL","E","","5,71","","","",""
"7477","PROV VULT BATOM LIQ MATTW DISNEY PRINCESS CINDERELA","E","","5,71","","14,90","",""
"7478","PROV VULT BATOM LIQ MATTW DISNEY PRINCESS JASMINE","E","","5,71","","11,59","",""
"7479","PROV VULT BATOM LIQ MATTW DISNEY VILLAINS CRUELLA","E","","5,71","","28,19","",""
"7480","PROV VULT BATOM LIQ MATTE DISNEY VILLAINS MALEVOLA","E","","5,71","","14,90","",""
"7481","PROV VULT BATOM LIQ MATTW DISNEY VILLAINS RAINHA MA","E","","5,71","","","",""
"7482","PROV VULT MASC CILIOS BASIC 3 EM 1 7,8G","E","","3,96","","11,99","",""
"7483","PROV VULT MASC CILIOS SUPER LASH  12G","E","","8,71","","","",""
"7484","PROV VULT MASC CILIOS LIFT & GO 7G","E","","8,63","","","",""
"7485","PROV VULT MASC CILIOS 5UP 7G","E","","8,63","","","",""
"7486","PROV VULT BRILHO LABIAL LIP OIL #MINTLOVERS 2G","E","","7,68","","","",""
"7487","PROV VULT BRILHO LABIAL LIP OIL #SWEELOVER 2G","E","","7,68","","","",""
"7488","PROV VULT BRILHO LABIAL LIP OIL #VANILOVER 2G","E","","7,68","","78,90","","Leve 3 unidades por R$ 59,18 cada"
"7489","PROV VULT CANETA SOBRANCELHA COR 02 1,5G","E","","7,12","","","",""
"7490","PROV VULT LAPIS ILUMINADOR SOBRNACELHA PERFECT UP","E","","5,15","","13,39","",""
"7491","PROV VULT LAPIS OLHOS MARROM 1,2G","E","","3,21","","78,90","","Leve 3 unidades por R$ 59,18 cada"
"7492","PROV VULT LAPIS OLHOS PRETO 1,2G","E","","3,21","","","",""
"7493","PROV VULT LAPISEIRA OLHOS TOTAL BLACK","E","","3,52","","","",""
"7494","PROV VULT LAPIS SOBRANCELHA COR 01 1,2G","E","","2,46","","","",""
"7495","PROV VULT DUO SOBRANCELHA COR 01","E","","1,48","","78,90","","Leve 3 unidades por R$ 59,18 cada"
"7496","PROV VULT DELINEADOR LIQ 2,5ML","E","","5,76","","19,59","",""
"7497","PROV VULT CORRETIVO CREME BAUNILHA 2G","E","","4,41","","","",""
"7498","PROV VULT CORRETIVO CREME NOZES 2G","E","","4,41","","24,90","",""
"7499","PROV VULT CORRETIVO CREME MACADAMIA 2G","E","","4,41","","","",""
"7500","PROV VULT PO COMPACT BASIC PC01 2G","E","","1,59","","91,90","",""
"7501","PROV VULT PO COMPACT BASIC PC02 2G","E","","1,59","","","",""
"7502","PROV VULT PO COMPACT BASIC PC03 2G","E","","1,59","","78,90","","Leve 3 unidades por R$ 59,18 cada"
"7503","PROV VULT PO COMPACT BASIC PC05 2G","E","","1,59","","","",""
"7504","PROV VULT PO COMPACT BASIC PC07 2G","E","","1,59","","","",""
"7505","PROV VULT PO COMPACT BASIC PC09 2G","E","","1,59","","","",""
"7506","PROV VULT PO COMPACT BASIC PC11 2G","E","","1,59","","","",""
"7507","PROV VULT PO SOLTO FACIAL HD TRANSLUCIDO 2G","E","","11,56","","29,29","",""
"7508","PROV VULT BLUSH COMPACT COR 102 2G","E","","1,75","","","",""
"7509","PROV VULT BASE MATE BEGE 01 26ML","E","","8,75","","","",""
"7510","PROV VULT BASE MATE BEGE 02 26ML","E","","8,75","","","",""
"7511","PROV VULT BASE MATE BEGE 03 26ML","E","","8,75","","16,09","","Leve 3 unidades por R$ 15,82 cada"
"7512","PROV VULT BASE MATE BEGE 04 26ML","E","","8,75","","273,00","",""
"7513","PROV VULT BATOM BASIC 01 3,5G","E","","4,45","","78,90","","Leve 3 unidades por R$ 59,18 cada"
"7514","PROV VULT BATOM BASIC 02 3,5G","E","","4,45","","","",""
"7515","PROV VULT BATOM BASIC 03 3,5G","E","","4,45","","23,90","","Leve 3 unidades por R$ 20,32 cada"
"7516","PROV VULT BATOM BASIC 04 3,5G","E","","4,45","","","",""
"7517","PROV VULT BATOM BASIC 05 3,5G","E","","4,45","","","",""
"7518","PROV VULT BATOM BASIC 06 3,5G","E","","4,45","","","",""
"7519","PROV VULT BATOM BASIC 07 3,5G","E","","4,45","","30,39","",""
"7520","PROV VULT BATOM BASIC 08 3,5G","E","","4,45","","","",""
"7521","PROV VULT BATOM BASIC 09 3,5G","E","","4,45","","90,99","","Leve 3 unidades por R$ 80,67 cada"
"7522","PROV VULT BATOM BASIC 10 3,5G","E","","4,45","","114,49","",""
"7523","PROV VULT BATOM BASIC 11 3,5G","E","","4,45","","","",""
"7524","PROV VULT BATOM BASIC 12 3,5G","E","","4,45","","109,99","",""
"7525","TAXA DE ENTREGA","","","6,00","","","",""
"7526","TESTE DE DIABETES","","","8,90","","250,64","",""
"7534","ATENSINA 150MCG C/30 CPR","E","PROPAGADO","10,08","","","",""
"7576","HIDRAPLEX PO LARANJA C/1 ENV 27,9G CX C/4","B","SIMILAR PRA VENDER MUITO!","25,40","","","",""
"7578","HIDRAPLEX PO GUARANA C/1 ENV 27,9 CX C/4","C","SIMILAR PRA VENDER MUITO!","10,20","","","",""
"7581","HIDRAPLEX PO TUTTI-FUITTI C/1 ENV 27,9  CX C/4","C","SIMILAR PRA VENDER MUITO!","21,46","","58,39","",""
"7582","HIDRAPLEX PO UVA C/1 ENV 27,9 CX C/4","B","SIMILAR PRA VENDER MUITO!","10,20","","94,90","",""
"7584","HIDRAPLEX PO NATURAL C/1 ENV 27,9  CX C/4","C","SIMILAR PRA VENDER MUITO!","30,42","","190,99","",""
"7586","HIDRAPLEX PO AGUA DE COCO C/1 ENV 27,9 CX C/4","B","SIMILAR PRA VENDER MUITO!","29,51","","103,99","",""
"7621","TORSILAX C/10 CPR","B","SIMILAR PRA VENDER MUITO!","7,20","","","",""
"7766","OTOSCOPIO MIKATOS PRETO TK 5 ESPECULOS","E","","343,88","","106,45","","Leve 3 unidades por R$ 79,84 cada"
"7767","SUPORTR P/CAIXA DESCARPAC FLEXIJET 13 LITROS","E","","42,90","","","",""
"7789","ALGINAC 5.000 C/1 AMP I+1 AMP II","E","PROPAGADO","9,85","","","",""
"7822","CITONEURIN 5000 INJ C/1 AMP I+ AMP II","B","PROPAGADO","5,73","","","",""
"7907","ZETRON XL 300MG C/60 CPR REVEST","E","PROPAGADO","192,44","","25,90","",""
"7913","FEMINA C/21 CPR (FRACIONADO)","E","PROPAGADO","26,31","","","",""
"7968","NORIPURUM 100MG INJ ENDOVENOSA C/1 AMP 5ML","E","PROPAGADO","16,39","","","",""
"7990","ETIQUETA P/ PRECO MX 5500R 21X12MM C/1000","E","","19,80","","29,69","",""
"7991","ETIQUETADORA MOD. CIS 8 DIGITOS UNIDADE 45.9902 - SERTIC","E","","59,25","","","",""
"8093","PASTA ABA ELASTICA PLASTICA OFICIO CRISTAL DELLOLINE","E","","14,30","","","",""
"8140","POTE PLASTICO","E","","8,12","","","",""
"8155","GN CEFALEXINA 500MG C/10 CPS(UNI)","E","BORA VENDER GENÉRICO 3.0","17,01","","","",""
"8171","TUBO DE LATEX N201 1 METRO","E","","2,80","","","",""
"8173","TUBO DE LATEX N203 1 METRO","E","","5,70","","","",""
"8176","ADES MORANGO 200ML 200ML","E","","2,40","","","",""
"8186","LIXA DE UNHA LARGA (FRACIONADO)","E","","0,50","","","",""
"8261","PROV TRACTA PO COMPACTO HD ULTRA TRANSLUCIDO 08","E","","3,28","","5,99","",""
"8405","PROCIMAX 20MG C/28 CPR REVEST","E","PROPAGADO","71,40","","","",""
"8443","CHA DESINCHA MIX DE VERAO PINA COLADA C/1 SACHE (FRACIONADO)","E","","2,23","","40,39","",""
"8607","SH REPOSITOR KERA SOLUTIONS DERCOS 300ML","E","DERMOCOSMETICOS","71,37","","88,59","",""
"8653","CETRILAN CREME 40G","E","DERMOCOSMETICOS","44,28","","22,39","",""
"8691","PROV BOCA ROSA BEAUTY MASCARA DE CILIOS MEU VOLUMÃO","E","","39,90","","136,99","",""
"8727","BUSCOFEM 400MG C/2 CAPS","C","02 - Preço Controlado Plugpharma","6,34","","59,90","",""
"8807","PEROLA C/28 CPR REVEST (FRACIONADO)","D","PROPAGADO","34,11","","5,65","",""
"8857","ROX 10MG C/30 CPR REVEST","E","PROPAGADO","42,57","","","",""
"8895","LIXA DE UNHA MINI","E","","0,15","","78,99","",""
"8914","GN DESOGESTREL 0,075MG C/28CPR","E","ANTICONCEPCIONAIS","25,80","","","",""
"8966","DESINCHA SOBREMESAS BANOFFEE (FRACIONADO)","E","","1,99","","19,92","",""
"8968","DESINCHA SOBREMESAS COOKIES (FRACIONADO)","E","","1,99","","","",""
