ean,name,curve,book,price,drogal_price,drogasil_price,drogal_observation,drogasil_observation,subsidiary_one_stock,subsidiary_two_stock
"7898126050220","TESTE GRAVIDEZ CONFIRME SEMANAS TIRAS C/1 UNID","E","","15,90","16,90","","","","3","1"
"7897144661296","GEL DENTAL BITUFO COCORICO S/FLUORR TUTTI FRUTTI 90G","E","","15,90","15,99","","","","2","1"
"7896112121282","GN QUETIAPINA 25MG C/30 CPR TEUTO","E","02 - Preço Controlado Plugpharma","30,74","12,49","","","","5","5"
"7894916340458","GN GLICLAZIDA 60MG C/60 CPR LEGRAND","E","BORA VENDER GENÉRICO 3.0","64,38","65,83","","","","0","1"
"7702031244646","TALCO JOHNSONS BABY DERMO PROTETOR 100G","E","","24,90","27,65","","","","1","0"
"7896004780511","GN RIVAROXABANA 20MG C/30 CPR EMS","E","BORA VENDER GENÉRICO 3.0","49,90","42,99","","","","2","1"
"7898430192043","CLIMATRIX 100MG C/30 CPR","E","02 - Preço Controlado Plugpharma","125,41","119,29","","","","1","1"
"7891040118649","ESPONJA BANHO PONJITA INFANTIL ANIMAIS","E","","15,50","25,89","","","","1","1"
"7896342450367","JOELHEIRA ESPORTE COM ORIFICIO REFORCADO MERCUR TAM G","D","","56,50","63,35","","","","1","1"
"7896181925170","MAXAPRAN 20MG C/60 CPR REVEST","E","02 - Preço Controlado Plugpharma","126,62","133,39","","","","0","1"
"7891150063440","SH SEDA LIMPEZA MICELAR 325ML","E","","10,99","12,39","","","","0","0"
"7896637026307","LACTOSIL 10.000 FCC C/30 SACHES","E","PROPAGADO","66,77","64,99","","","","0","0"
"7891350036992","ESM RISQUE DIAMOND GEL CINZA GRANITO 9,5ML","E","","9,50","12,99","","","","0","0"
"7898040320768","DOLAMIN 125MG C/16 CPR REVEST","E","PROPAGADO","27,52","26,79","","","","3","2"
"7500435137577","KIT PANTENE MICELAR SH 400ML+COND 175ML","E","","36,99","35,99","","","","0","0"
"7898687734447","GN BROMIDRATO DE VORTIOXETINA 10MG C/30 CPR","E","BORA VENDER GENÉRICO 3.0","100,25","80,90","","","","1","1"
"7891150049888","CR DENTAL CLOUSEP HORTELA 70G","E","","2,99","2,79","","Leve 3 e pague R$1,99 cada","","3","4"
"7898524348516","COND SALON LINE SOS CACHO COCO TRATAMENTO PROFUNDO 300ML","E","","16,50","14,19","","","","2","2"
"7896676410235","NEURAL 100MG C/30 CPR","C","02 - Preço Controlado Plugpharma","66,15","65,29","","","","2","3"
"7899852025520","COND VULT HAIR CACHOS 3A/3C MEMORIZA OS CACHOS 325ML","E","","22,90","23,15","","","","2","1"
"7791293028781","DES AERO MAN AXE BLACK 150ML","C","","15,90","9,89","","","","0","3"
"7896004789408","BRIXAG 2+5MG/ML SOL OFT 5ML","E","PROPAGADO","86,00","95,59","","","","0","1"
"7898582381982","TRAMAL RETARD 50MG C/20 CPR","E","03 - Preço Controlado Plugpharma","128,95","133,39","","","","0","0"
"7897460401378","OLIGOVIT UP C/60 CPS","E","","86,43","92,59","","","","1","1"
"7891182026918","ESM RISQUE ROSE BOMBOM 8ML","D","","4,60","6,99","","","","0","2"
"7891010031633","ABS SEMPRE LIVRE ADAPT PLUS SUAVE ABAS C/8 UNID","C","","6,90","6,29","","","","2","6"
"78900806","CHICLETE VALDA TABLETES 4G","B","","1,00","1,39","","","","113","216"
"7896094209602","VELIJA 30MG C/60 CAPS","D","01 - Preço Controlado Plugpharma","110,18","95,79","","","","2","6"
"7500435230971","CITONEURIN 5000MCG C/90 CPR","E","PROPAGADO","215,62","231,99","","","","0","2"
"8710103942795","CHUP AVENT ULTRA AIR 6 A 18 MESES ROSA DECORADA C/2 UNID","E","","77,90","89,59","","","","0","1"
"7891058431037","LASIX 40MG C/20 CPR","E","01 - Preço Controlado Plugpharma","20,68","20,79","","","","2","5"
"7896075757559","CORTADOR DE UNHA UNHEX BABY AZUL","E","","26,90","22,55","","","","1","2"
"7899706134170","SH ELSEVE HYDRA DETOX ANTICASPA 400ML","D","","38,50","27,99","","","","0","0"
"7896004722160","GN HEMIFUMARATO DE BISOPROLOL 1,25MG C/30 CPR REVEST EMS","E","BORA VENDER GENÉRICO 3.0","39,72","32,29","","","","0","1"
"7891000118580","BOMBOM NESTLE PRESTIGIO DARK 33G","E","","3,49","4,19","","","","0","16"
"4005900916129","SAB HIDRAT NIVEA ANTIBACTERIANO 3EM1 85G","E","","3,39","2,65","","","","5","1"
"7898089300059","IMESCARD POM RETAL 25G C/APLIC","E","01 - Preço Controlado Plugpharma","46,57","44,99","","","","1","0"
"7891150055957","SORVETE KIBON CREMOSISSIMO 4EM1 POTE 2L","E","","41,90","31,90","","","","0","0"
"7500435215565","KIT PANTENE SH+COND EQUILIBRIO 300ML+150ML","E","","38,99","35,99","","","","3","2"
"7896009498671","KIT CENTRUM HOMEM 60CPR+30CPR","E","","175,93","124,79","","","","1","1"
"7891142201744","BLANCY TX MANTECORP SKINCARE CLAREADOR 30G","E","DERMOCOSMETICOS","191,61","205,55","","","","0","0"
"7899706149570","BASE LOREAL BB CREAM CLARA FPS20 30ML","D","","42,90","45,09","","","","1","1"
"7898687733990","GN ETODOLACO 500MG ALTHAIA C/14CPR","E","BORA VENDER GENÉRICO 3.0","26,67","23,08","","","","1","2"
"7500435017060","CR DENTAL ORAL B STAGES STAR WARS 100G","E","","12,90","14,59","","","","0","0"
"7896007542857","ABS INTIMUS INTERNO MINI C/16 UNID","D","","18,90","16,79","","","","1","3"
"7899852024660","ESM VULT FUN ETERNA OTIMISTA 8ML","E","","6,99","8,25","","","","0","0"
"7891317007508","REHIDRAT 50 S/LARANJA C/4 ENV","E","02 - Preço Controlado Plugpharma","32,15","32,49","","","","1","3"
"7896094926059","VITASAY AZ MULHER C/30 CPR","E","","35,12","34,69","","","","0","0"
"7899941203570","MIX PRO CREATINE PROBIOTICA 300G","E","","59,50","64,69","","","","1","1"
"7896004715032","DORILEN C/12 CPR","D","SIMILAR PRA VENDER MUITO!","15,40","14,39","","","","5","8"
"7896090611652","ENO MAGNO SACHE 10ML","C","PROPAGADO","4,26","3,75","","Leve 3 e pague R$1,99 cada","","12","7"
"3401343696245","CR FACIAL SENSIBIO AR BIODERMA 40ML","E","DERMOCOSMETICOS","135,00","124,89","","","","0","1"
"7896658015724","DORENE 75MG C/30 CPR","E","02 - Preço Controlado Plugpharma","109,82","106,52","","","","0","0"
"7506309840581","COND PANTENE HIDROCAUTERIZACAO 400ML","E","","28,50","32,59","","","","0","1"
"7891317009892","TRIMEB 200MG C/30 CAPS MOLE","E","01 - Preço Controlado Plugpharma","75,43","64,87","","","","1","3"
"7896423497984","CHOCOLATE SNICKERS PE DE MOLEQUE 42G","B","","4,90","5,09","","","","29","11"
"7896004779096","GLAMIGAN SOL OFT 0,1MG/ML 3ML","E","02 - Preço Controlado Plugpharma","86,07","93,29","","","","1","1"
"7896422504713","GN CLORIDRATO DE TERBINAFINA 250MG C/14 CPR MEDLEY","E","BORA VENDER GENÉRICO 3.0","54,68","46,04","","","","0","0"
"7891317024284","PRYSMA 3MG C/20 CPR","E","02 - Preço Controlado Plugpharma","73,63","72,79","","","","2","-1"
"7898168004113","GEL ANTICICATRIZ ULTRA SKIMATIX 15G","E","","202,96","145,05","","","","0","0"
"7896342452392","COLAR CERVICAL MERCUR BRANCO TAM M","E","","50,90","56,05","","","","0","0"
"3282770388640","SAB SOAPELLE DARROW 70G","E","DERMOCOSMETICOS","35,91","38,19","","","","1","0"
"7702018072217","APAR DEPIL GILLETTE VENUS 3 SENSITIVE C/2 UNID","E","","26,90","23,09","","","","3","5"
"7891350042207","ESM RISQUE BRIDGERTON DIAMANTE DA TEMPORADA 8ML","E","","7,50","7,99","","","","0","0"
"7891721202728","GN LEVOTIROXINA SODICA 175MCG C/30 CPR MERCK","E","BORA VENDER GENÉRICO 3.0","16,30","16,88","","","","1","2"
"7891182016322","TIN KOLESTON ACAJU PURPURA COR 366","E","","19,90","23,95","","","","1","2"
"7612412156003","ESC DENT CURAPROX 1560 ULTRA SOFT C/1 UND","E","","34,99","35,19","","","","2","2"
"7509546673226","SAB PROTEX BABY GLICERINA 85G","B","","3,99","3,75","","","","3","3"
"7896004724683","GN BIMATOPROSTA SOL OFT 5ML","E","03 - Preço Controlado Plugpharma","108,10","74,59","","","","0","0"
"7891008124071","BARRA CHOCOLATE GAROTO CACAU DO BRASIL CROCANTE 80G","D","","8,50","6,65","","","","0","0"
"7896094928350","ENGOV UP ENERGETICO MORANGO+KIWI 269ML","E","SUPLEMENTO ALIMENTAR","11,90","9,40","","Leve 2 e pague R$7,05 cada","","2","4"
"7896004775326","IMUSSUPREX 50MG C/50 CPR","E","02 - Preço Controlado Plugpharma","159,51","114,99","","","","1","1"
"7896671692155","COND FLORES VEGETAIS BLOND MATIZANTE 310ML","E","","29,90","32,39","","","","2","2"
"7896006240457","MUCOFAN 50MG/ML XPE 100ML","E","03 - Preço Controlado Plugpharma","24,45","20,29","","","","1","1"
"7896015523541","PARNATE 10MG C/20 CPR","E","01 - Preço Controlado Plugpharma","40,56","44,79","","","","0","1"
"7898430191206","VAGIDRAT GEL 30G C/10 APLIC","E","PROPAGADO","103,60","141,09","","","","0","0"
"7891106907064","XARELTO 20MG C/28 CPR REVEST","E","02 - Preço Controlado Plugpharma","361,63","228,39","","","","1","1"
"7896261012486","DIOVAN AMLO FIX 160+5MG C/28 CPR REVEST","E","PROPAGADO","163,28","164,48","","","","0","8"
"768455150922","CURATIVO DUODERM EXTRA THIN 10CMX10CM","E","","40,50","41,59","","","","0","0"
"3499320015752","SERUM CETAPHIL OLHOS HEALTHY RENEW 15G","E","DERMOCOSMETICOS","152,61","131,49","","","","0","0"
"7896261006867","RITALINA LA 30MG C/30 CAPS","D","02 - Preço Controlado Plugpharma","364,20","351,55","","","","1","0"
"7891317010171","GN CLORIDRATO DE BUPROPIONA 300MG C/30 CPR EUROFORMA","D","BORA VENDER GENÉRICO 3.0","115,26","113,79","","","","0","1"
"7897316804902","ZYMAR 0,3% SOL OFT 5ML","E","03 - Preço Controlado Plugpharma","46,73","46,99","","","","2","2"
"3607348816552","PERF KILLER QUEEN KATY PERRY 100ML","E","","250,90","184,05","","","","0","0"
"7896512911858","SAB GRANADO BEBE GLICERINA LAVANDA 90G","E","","7,50","7,29","","","","1","1"
"7891033471683","COND EUDORA SIAGE CBT/FRIZ 200ML","E","","52,90","50,65","","","","0","0"
"7891150028463","LOCAO HIDRAT CORPORAL VASENOL CALMING 200ML","D","","24,90","19,89","","","","1","1"
"7898430193590","DPREV 14.000 UI C/4 CPR","D","03 - Preço Controlado Plugpharma","38,72","37,99","","Leve 2 e pague R$26,59 cada","","4","7"
"7891150068926","SH DOVE MEN SPORTS ACTIVE FRESH 200ML","E","","21,90","22,79","","","","0","0"
"7898636193578","COND TIO NACHO FORTALECEDOR ANTIQUEDA ERVAS MILENARES 415ML","E","","42,90","26,99","","","","1","1"
"7891150050235","SORVETE KIBON CREMOSISSIMO CREME POTE 1.5L","E","","31,90","24,90","","","","0","0"
"7898623955844","COND SALON LINE MEU LISO ONDULADO 300ML","E","","17,50","15,09","","","","0","0"
"7896191246159","MEIA KENDALL MEDIA COMPRESSAO 3/4 S/PONTEIRA MEL M","E","","80,99","71,99","","","","0","0"
"4005900904614","PROT SOLAR FACIAL NIVEA SUN PELE RADIANTE F50 40ML","E","","79,90","66,49","","","","0","0"
"78907850","CR HIDRAT PAIXAO INSPIRADORA CORPORAL 200ML","E","PERFUMARIA CESTÃO","9,99","8,99","","","","10","13"
"7896094928084","HIDANTAL 100MG C/25 CPR","E","PROPAGADO","12,93","13,59","","","","3","5"
"7897076914057","GN ESOMEPRAZOL 20MG C/ 28CPR","E","02 - Preço Controlado Plugpharma","70,46","31,49","","","","2","1"
"7891058487096","NOVALGINA GTS 10ML","E","03 - Preço Controlado Plugpharma","14,77","13,15","","","","0","0"
"7891033474004","SH EUDORA SIAGE NUTRI ROSE 400ML","E","","70,90","69,29","","","","1","2"
"7793100112287","CR DENTAL COLGATE ORTHOGARD 90G","E","","31,50","26,35","","","","3","0"
"7896658002120","BRONDILAT XPE PED 120ML","E","03 - Preço Controlado Plugpharma","40,02","39,39","","","","2","1"
"7891350045284","ESM RISQUE MANICORES ESMALTERAPIA 8ML","E","","5,99","7,99","","","","1","2"
"7896269900983","NARAMIG 2,5MG C/4 CPR","E","PROPAGADO","23,74","23,19","","","","2","5"
"7896852615973","SH AMEND RECONSTRUTOR COMPLETE REPAIR 250ML","E","","41,90","43,29","","","","0","0"
"7896699023764","ASPIRADOR NASAL 2EM1 AZUL LOLLY","E","","16,50","18,45","","","","0","0"
"7896018700710","SH TURMA DA MONICA CAMOMILA 200ML","E","","17,90","20,45","","","","1","1"
"7891033070664","COND EUDORA SIAGE CICA THERAPY 200ML","E","","52,90","50,65","","","","2","2"
"7899706197922","PROT SOLAR FACIAL LOREAL ANTIOLEOSIDADE COR 1.0 F60 40G","D","","51,90","51,99","","","","6","5"
"7896004773759","VIOFTA 0,15% SOL OFT 10ML","E","PROPAGADO","56,74","39,90","","","","2","1"
"7896004706276","GN CLOR DE AMBROXOL 15MG/5ML XPE PED FRAMBOESA 120ML(EMS)","E","BORA VENDER GENÉRICO 3.0","16,21","11,09","","","","3","2"
"7891317016425","ALTA D CAPS 15.000UI C/4 CAPS MOLE","E","LEVE E PAGUE FARMARCAS","48,60","50,39","","","","2","3"
"7896714269870","VITAMINA NEO QUIMICA AZ C/60","E","SIMILAR PRA VENDER MUITO!","4,83","29,90","","Leve 2 e pague R$14,45 cada","","4","2"
"7894916514927","ARPEJO 20MG GTS 30ML","E","02 - Preço Controlado Plugpharma","438,82","377,39","","","","0","0"
"7896094921276","COLEDUE-R 10MG+20MG C/30 CPR","E","02 - Preço Controlado Plugpharma","94,92","105,31","","","","1","1"
"7896007552979","FR PLENITUD CLASSIC P/M C/16 UNID","E","","57,90","48,89","","","","2","4"
"7891350037043","ESM RISQUE DIAMOND GEL TIRAMISU 9,5ML","E","","9,50","12,99","","","","0","0"
"7891317455569","DUOMO 2MG C/30 CPR","D","01 - Preço Controlado Plugpharma","34,98","37,79","","","","3","1"
"7896114312923","ESC DENT BITUFO INTER CLEAN CONICO 04MM 24478","E","","22,90","26,75","","","","2","2"
"7896016809026","LUFTAFEM 200+500MG C/4 CPR","E","02 - Preço Controlado Plugpharma","10,42","5,75","","","","0","0"
"7896015526252","CR COREGA ULTRA S/SABOR 19G","E","","36,90","24,89","","","","4","0"
"7896685300657","KRONEL GEL VAG 60G C/10 APLIC","E","02 - Preço Controlado Plugpharma","111,80","108,59","","","","0","2"
"7896004780092","GEL POS SOL CALADRYL ALOE VERA 120G","D","","38,90","23,19","","","","2","3"
"7898040328603","BACTRIM F 800+160MG C/10 CPR","C","PROPAGADO","31,77","30,99","","","","7","5"
"7896046300104","LOTEPROL SOL OFT 5ML","E","02 - Preço Controlado Plugpharma","77,53","63,79","","","","0","0"
"7896044999904","SAB VEGETAL GIOVANNA BABY CLASSIC 90G","D","","4,20","4,69","","","","2","4"
"7896422517041","GN ALPRAZOLAM 2MG C/30 CPR MEDLEY","E","BORA VENDER GENÉRICO 3.0","26,49","22,29","","","","2","7"
"7898582382118","PALEXIS LP 50MG C/30 CPR","E","02 - Preço Controlado Plugpharma","85,95","93,69","","","","1","1"
"7897947617667","REPELENTE GEL XO INSETO SONO ICARIDINA 95GR","E","","34,90","32,19","","","","2","1"
"7891142982155","CORISTINA D PRO C/8 CPR","E","PROPAGADO","21,78","21,79","","","","3","7"
"4005808808243","ESFOLI CORP BANHO NIVEA 204G","E","","35,90","43,95","","","","1","1"
"8720689006651","MAMADEIRA AVENT ANTI COLICA COALA +1 MESES 260ML","E","","106,90","126,99","","","","0","0"
"7896001303119","SUPL ALIMENTAR FIBER MAIS NESTLE 260G","E","","110,31","134,45","","","","0","2"
"7500435185028","FEMIBION 2 C/28 CPR","E","","127,24","113,25","","","","1","2"
"7898075311755","TESTE DE GRAVIDEZ GRAVITEST CLICK (CIMED)","E","","9,90","12,69","","","","1","1"
"8429420222229","SAB ANTIOLEOSIDADE ISDIN ACNIBEN 1 80G","E","DERMOCOSMETICOS","34,11","34,69","","","","2","0"
"7896512911391","COND GRANADO BEBE TRADICIONAL 250ML","E","","21,99","23,25","","","","2","0"
"7896714218700","NAPRONAX 550MG C/10 CPR","E","02 - Preço Controlado Plugpharma","29,32","32,74","","","","0","0"
"7898405063873","OVO SURPRESA DINOSSAURO TOY","E","","7,90","10,35","","","","0","0"
"7899706181792","PROT SOLAR FACIAL LOREAL UV DEF HIDRATACAO REV FPS60 40G","E","","56,90","71,49","","","","3","1"
"7897460401255","GINKOBA 80MG C/30 CPR REVEST","E","02 - Preço Controlado Plugpharma","58,65","54,09","","","","1","0"
"7896004756868","GN ORLISTATE 120 MG C/60 CAPS GERMED","D","BORA VENDER GENÉRICO 3.0","164,90","107,49","","","","1","0"
"7891317445744","TROK N POM 30G","E","03 - Preço Controlado Plugpharma","36,31","37,69","","","","1","1"
"7891182820028","ESM RISQUE RENDA 8ML","D","","4,60","6,99","","","","3","2"
"7899706190121","GEL DE LIMPEZA VICHY NORMADERM 150G","E","DERMOCOSMETICOS","53,01","52,63","","","","0","0"
"7891317007638","PEN VE ORAL 400000UI/5ML LIQ 60ML","E","02 - Preço Controlado Plugpharma","29,73","32,19","","","","0","0"
"4005900359124","KIT NIVEA DES ROLL ON PROTECT&CARE 50ML","C","","14,90","19,64","","","","0","0"
"7896026171465","CR FACIAL FISIOGEL DIARIO ACAO CALMANTE FPS20 40ML","E","DERMOCOSMETICOS","77,31","75,29","","","","1","0"
"7896422504454","GN SULFATO DE NEOMICINA+BACITRACINA ZINCICA POM 15G MEDLEY","B","03 - Preço Controlado Plugpharma","9,88","8,39","","","","7","6"
"7891033523849","HIDRAT CORPORAL EUDORA INSTANCE CEREJA E AMENDOAS 400ML","E","","52,99","54,09","","","","0","0"
"7899420503177","ASEA HCT 40+25MG C/30 CPR REVEST","E","03 - Preço Controlado Plugpharma","72,59","76,99","","","","1","2"
"7898040325404","LOCAO HIDRAT DERMOVANCE SECA/SENSIVEL 500ML","E","DERMOCOSMETICOS","126,81","118,69","","","","0","0"
"7899470808314","TILEMAXY BABY 100MG/ML 15ML","E","SIMILAR PRA VENDER MUITO!","12,90","8,69","","","","1","1"
"7891158105456","LIPIDIL 160MG C/90 CPR","E","02 - Preço Controlado Plugpharma","355,96","358,58","","","","0","1"
"7891106912655","REDOXON TRIPL LARANJA C/10 CPR EFERV","E","PROPAGADO","19,65","24,09","","","","2","5"
"7891350038613","DES AERO MAN CLINICAL BOZZANO CLEAN 150ML","D","","9,99","14,99","","Leve 2 e pague %11,24(50.00) cada","","1","2"
"7899852021751","ESM VULT TOP H LEXA AQUECIMENTO 8ML","E","","9,50","8,89","","","","0","0"
"7896085111006","BOLSA TERMICA TERMOGEL FRIA/QUENTE PEQUENA","E","","13,99","11,55","","","","3","3"
"7896082900504","LAPISEIRA SECATIVA ACNASE BEGE 300MG","E","","29,90","23,89","","","","1","2"
"7898158692139","NAUSILON B6 SOL ORAL GTS 20ML","E","PROPAGADO","13,32","14,19","","","","3","3"
"7896637022729","AZULFIN 500MG C/60 CPR REVEST","E","03 - Preço Controlado Plugpharma","116,71","107,69","","","","1","0"
"7891150065925","SORVETE KIBOM MMS CONE CANUDO 90ML","E","","12,90","12,00","","","","28","9"
"7898560664113","TILATIL 20MG C/10 COMP","E","01 - Preço Controlado Plugpharma","85,29","88,29","","","","0","0"
"7896206406738","SELOZOK 50MG C/60 CPR REVEST","E","02 - Preço Controlado Plugpharma","133,82","117,23","","","","1","2"
"7891150095588","SH DOVE BOND INTENSE REPAIR 350ML","E","","24,90","20,89","","","","5","3"
"7891142982308","BIFILAC MIND C/30 CAPS","E","","124,71","94,69","","","","0","2"
"7891317028824","VORIC 10MG C/10 CPR EURO","E","PROPAGADO","27,28","31,09","","","","1","0"
"7891317005832","RUVA 20MG C/30 CPR REVEST","E","02 - Preço Controlado Plugpharma","78,72","82,79","","","","1","0"
"7896512946003","COLONIA GRANADO BEBE TRADICIONAL 100ML","D","","76,50","83,49","","","","0","1"
"7896000706072","TIN COR&TON LOURO CINZA CLARO COR 8.1","E","","12,99","17,59","","","","1","2"
"7896523220291","GN FEXOFENADINA 120MG C/10 CPR CIMED","B","BORA VENDER GENÉRICO 3.0","28,75","14,99","","","","3","2"
"7891721202797","GN LEVOTIROXINA SODICA 25MCG C/30 CPR MERCK","C","BORA VENDER GENÉRICO 3.0","8,99","9,63","","","","0","0"
"7713042147628","CRISTAIS GENGIBRE NATUREZA GENGIBRE/ABACAXI 40G","E","","9,90","13,09","","","","18","12"
"7702031610830","DESITIN CREAMY 113G","E","PROPAGADO","66,90","81,69","","","","0","0"
"7896512921741","DEO COLONIA PHEBO LIMAO SICILIANO 200ML","D","","66,90","66,89","","","","1","2"
"7891033534999","COND EUDORA SIAGE LOIRO EXPERT 200ML","E","","52,90","50,65","","","","0","0"
"7891150087347","DES AERO MAN DOVE INVISIBLE FRESH 150ML","E","LEVE E PAGUE PERFUMARIA","19,59","18,65","","","","3","2"
"7898582380183","BELARA 2+0,03MG C/21 CPR REVEST","E","01 - Preço Controlado Plugpharma","54,14","54,69","","","","2","0"
"7897595901859","SAB INTIMO LIQ DERMACYD INFANTIL 200ML","E","","28,90","28,85","","","","2","1"
"7896018750876","COND HUGGIES KIDS NUTRICAO E FORCA 360ML","E","","17,90","24,19","","","","1","2"
"7898946433784","SUPL ALIMENTAR REINFORCE CABELOS E UNHAS ALTHAIA C/30 CAPS","E","","45,90","67,62","","","","0","0"
"3282770388497","LOCAO HIDRAT NUTRIOL MED ANTICOCEIRA 390G","D","DERMOCOSMETICOS","125,01","120,99","","","","0","0"
"7897316805411","LUMIGAN RC SOL OFT 5ML","D","02 - Preço Controlado Plugpharma","253,61","218,11","","","","0","1"
"5000456070423","FORXIGA 10MG C/30 CPR","B","PROPAGADO","177,84","197,93","","","","8","11"
"7896255717724","TEOLONG 200MG C/30 CPR","E","02 - Preço Controlado Plugpharma","33,30","30,39","","","","0","0"
"7908615060385","SH ELSEVE GLYCOLIC GLOSS EXTRA GLOSS 200ML","E","","16,90","20,99","","","","4","4"
"7898938890076","MONSTER ENERGY ZERO ACUCAR 473ML","C","","11,50","11,19","","","","4","6"
"7896108560293","PROT SOLAR CENOURA&BRONZE FPS30 110ML","E","","39,90","27,29","","","","1","0"
"7899824400737","FOLIFER C/30 CPR REVEST","C","PROPAGADO","72,91","77,75","","","","2","1"
"7896004761152","GN LORAZEPAM 2MG C/30 CPR GERMED","B","BORA VENDER GENÉRICO 3.0","15,69","7,19","","","","5","4"
"7891350037814","ESM RISQUE FRIENDS O TAXI DA PHOEB 8ML","E","","5,95","6,99","","","","0","0"
"7891182016513","TIN KOLESTON BORGONHA VIBRANTE COR 4446","E","","19,90","23,95","","","","0","1"
"7898049790944","GN DICLORIDRATO DE FLUNARIZINA 10MG C/50 CPR VITAMEDIC","E","02 - Preço Controlado Plugpharma","9,26","12,59","","","","1","5"
"7894916512442","IMENSE 100MG C/30 CPR REVEST","E","02 - Preço Controlado Plugpharma","148,63","149,72","","","","0","0"
"7896112486886","ARADOIS 50MG C/60 CPR","E","PROPAGADO","18,99","22,89","","","","1","5"
"7899706195027","PROT SOLAR FACIAL LA ROCHE ANTHELIOS ARLICIUM FPS80 40G","E","DERMOCOSMETICOS","78,21","97,29","","","","6","3"
"7898968453104","ATENSINA 150MG C/30 CPR","C","PROPAGADO","12,10","11,79","","","","15","3"
"8902220109506","ROSUCOR 10MG C/30 CPR REVEST","E","PROPAGADO","35,23","32,83","","Leve 2 e pague R$31,33 cada","","4","6"
"3282770207651","PROT SOLAR ACTINE MORENA F70 40G","E","DERMOCOSMETICOS","75,96","73,39","","","","1","1"
"7899706158190","SERUM LA ROCHE-POSAY HYALU B5 ANTIRRUGAS 15ML","E","DERMOCOSMETICOS","168,21","157,99","","","","0","1"
"7896331700138","EFEDERM CR 1,1+3+10MG/G 55G","E","SIMILAR PRA VENDER MUITO!","24,78","27,99","","","","1","0"
"7899706134217","PROT SOLAR LA ROCHE POSAY ANTHELIOS XL S/COR FPS70 200ML","E","DERMOCOSMETICOS","139,41","112,99","","","","1","1"
"7891010026264","PROT SOLAR SUNDOWN KIDS FPS60 120ML","E","Ofertas Verão","63,92","79,99","","","","7","3"
"7791293022581","DES AERO MAN REXONA XTRACOOL 150ML","E","LEVE E PAGUE PERFUMARIA","18,99","17,85","","","","9","4"
"7891024034965","SAB PROTEX PROPOLIS 85G","E","","3,99","3,55","","","","6","3"
"7896422524452","OSTEONUTRI 600/400 UI C/60 CPR","E","","136,47","137,05","","","","0","0"
"7896255716987","SYNTHROID 150MCG C/30 CPR","E","03 - Preço Controlado Plugpharma","58,44","56,41","","","","1","3"
"78938793","BALA HALLS CEREJA 28G","C","","2,89","3,09","","","","17","26"
"5702157108459","CLOPIXOL 25MG C/20 CPR","E","02 - Preço Controlado Plugpharma","105,40","99,89","","","","0","0"
"7891150065321","SAB DOVE BABY HIDRATACAO BALANCEADA 75G","D","","4,90","4,75","","Leve 3 e pague R$3,16 cada","","4","6"
"7899706185905","PROT SOLAR LA ROCHE ANTHELIOS ULTRA COVER 6.0 FPS60 30G","E","DERMOCOSMETICOS","84,15","73,89","","","","0","0"
"7891106007047","XARELTO 10MG C/30 CPR REVEST","E","02 - Preço Controlado Plugpharma","353,44","244,69","","","","0","1"
