Cód. Barras/Etiq.,Embalagem,Curva ABC Qtd.,Caderno de Ofertas,Custo Médio Unit.,Preço Venda Unit.,Preço Oferta Unit.
005325,PRIMERA 20 C/21 CPR (FRACIONADO),C,PROPAGADO ,"21,97","30,38","24,61"
005325,PRIMERA 20 C/21 CPR (FRACIONADO),E,PROPAGADO ,"21,22","30,38","24,61"
005329,PROFENID 100MG INJ C/1 AMP 2ML (FRACIONADO),B,PROPAGADO ,"4,76","6,65","5,39"
005329,PROFENID 100MG INJ C/1 AMP 2ML (FRACIONADO),C,PROPAGADO ,"4,76","6,65","5,39"
005508,GN LEVOTIROXINA SODICA 150MCG C/30CPR MERCK,E,BORA VENDER GENÉRICO 3.0,"8,46","15,48","13,16"
005547,ESPUMA BARBEAR NIVEA DEEP BLACK 200ML,E,,"14,55","22,50","22,50"
005602,SH PALMOLIVE KIDS MINION 350ML,E,,"8,43","12,90","12,90"
005628,GN NIMESULIDA 50MG/ML GTS FRAMBOESA 15ML(EMS),E,BORA VENDER GENÉRICO 3.0,"7,40","28,30","14,15"
005733,TORSILAX C/4 CPR,E,01 - Preço Controlado Plugpharma,"0,72","6,38","4,78"
005733,TORSILAX C/4 CPR,E,02 - Preço Controlado Plugpharma,"1,21","6,38","4,78"
005736,ALICATE CUTICULA SANDY ESPATULA CX C/6,E,,"41,10","59,90","59,90"
005743,HASTES FLEXIVEIS ISABABY C/50 UNID CX C/12,C,,"67,59","120,90","120,90"
005747,PINCA MERHEJE DECORADA CX C/12,E,,"28,71","43,20","43,20"
005752,TESOURA MERHEJE PONTA CURVA CX C/6,E,,"75,72","115,90","115,90"
005755,LIXA DE UNHA TRIM NAIL CARE POLIDORA CX C/6,E,,"57,50","63,90","63,90"
005758,TESOURA MERHEJE RETA  CX C/6,E,,"52,91","93,90","93,90"
005760,NEOSALDINA C/4 DRG CX C/50,B,PROPAGADO ,"267,64","434,51","351,96"
005782,DECONGEX PLUS C/4 CPR,B,02 - Preço Controlado Plugpharma,"6,87","10,69","9,69"
005782,DECONGEX PLUS C/4 CPR,C,01 - Preço Controlado Plugpharma,"6,81","10,69","9,69"
005797,NECESSAIRE KATY SOFY GRANDE REF 00004,E,,"13,77","20,90","20,90"
005812,AGULHA P/CANETA SOL-MILLE INSULINA 5MM 31G ROXA,E,,"0,60","1,00","1,00"
005816,AGULHA P/CANETA BD ULTRA-FINE INSULINA 5MM 31G ROXA,E,,"0,69","1,90","1,90"
006285,ALLESTRA 75MCG C/21 DRG (FRACIONADO),E,PROPAGADO ,"15,51","31,20","25,28"
006295,GINESSE C/21 CPR REVEST(FRACIONADO),B,PROPAGADO ,"20,70","29,00","23,49"
006295,GINESSE C/21 CPR REVEST(FRACIONADO),E,PROPAGADO ,"20,09","29,00","23,49"
006298,IUMI ES C/30 CPR REVEST(FRACIONADO),E,PROPAGADO ,"53,02","55,53","44,98"
006300,LYDIAN C/21 CPR REVEST(FRACIONADO),E,PROPAGADO ,"13,96","24,04","19,48"
006306,MINIAN C/21 CPR(FRACIONADO),C,PROPAGADO ,"24,39","36,60","29,65"
006306,MINIAN C/21 CPR(FRACIONADO),E,PROPAGADO ,"0,00","36,60","29,65"
006313,YASMIN C/21 CPR REVEST(FRACIONADO),E,PROPAGADO ,"26,56","112,48","91,11"
006444,OTOMIXYN GTS 5ML,E,SIMILAR PRA VENDER MUITO!,"2,96","10,45","7,32"
006460,HAIR SPRAY KARINA FIXACAO FORTE 400ML ,E,,"14,78","23,90","23,90"
006504,PRIMOGYNA 1MG C/28 DRG,E,PROPAGADO ,"29,22","52,91","42,86"
006510,SYSTANE UL 10ML,E,,"25,76","50,29","50,29"
006643,SAB ACNASE  ACAO ANTIACNEICA 80G,E,DERMOCOSMETICOS ,"10,81","16,70","15,03"
006738,PROV COLONIA EUROESSENCE AZZUR 60ML ,E,,"0,01","0,02","0,02"
006739,PROV COLONIA EUROESSENCE BELLE 60ML ,E,,"0,01","0,02","0,02"
006740,PROV COLONIA EUROESSENCE FEROZE 60ML ,E,,"0,01","0,02","0,02"
006741,PROV COLONIA EUROESSENCE SEXY 60ML ,E,,"0,01","0,02","0,02"
006768,PILHA RAYOVAC EXTRA ADVANCED AP AUDITIVO 10 CX C/6,E,,"105,00","161,90","161,90"
006771,PILHA RAYOVAC EXTRA ADVANCED AP AUDITIVO 312,E,,"2,92","4,50","4,50"
006832,DALYNE C/21 CPR REVEST (FRACIONADO),E,,"36,97","60,85","60,85"
007013,AGULHA P/CANETA BD ULTRA-FINE INSULINA 4MM 32G VERDE,B,,"0,00","1,50","1,50"
007013,AGULHA P/CANETA BD ULTRA-FINE INSULINA 4MM 32G VERDE,E,,"0,80","1,50","1,50"
007029,CHICLETE TRIDENT FRESH INTENSE 8G C/5 UNID,A,,"1,34","2,90","2,90"
0070330728509,APAR BARBEAR BIC SENSITIVE C/7 UNID,E,,"5,33","8,50","8,50"
0070330728547,APAR PRESTOBARBABIC CONF WOMEM LV5PG4 ,E,,"7,79","11,70","11,70"
0070341071854,GOTA LISA SPA DOS PES UREIA 10% 30ML,C,,"3,49","8,90","8,90"
0070341071861,ACETONA ACEMAR PRO 100ML,B,,"2,52","3,90","3,90"
0070341071861,ACETONA ACEMAR PRO 100ML,D,,"2,62","3,90","3,90"
0070341071878,ACETONA ACEMAR PRO 200ML,C,,"4,73","6,90","6,90"
0070341071878,ACETONA ACEMAR PRO 200ML,D,,"4,73","6,90","6,90"
0070341071885,ACETONA ACEMAR PRO 500ML,B,,"9,49","14,90","14,90"
0070341071885,ACETONA ACEMAR PRO 500ML,C,,"8,94","14,90","14,90"
0070341368183,ANTITRANSPIRANTE PRINCIPIA CLOR ALU+TREA+PANTE-02 70ML,E,,"27,30","39,00","39,00"
0070341368190,ANTITRANSPIRANTE PRINCIPIA CLOR ALU+PANT+BISAB AD-03 70ML,E,,"27,30","39,00","39,00"
0070341368299,PROT SOLAR PRINCIPIA CORPORAL FPS45 PS-03 200ML,D,,"34,30","49,00","49,00"
0070341368299,PROT SOLAR PRINCIPIA CORPORAL FPS45 PS-03 200ML,E,,"34,30","49,00","49,00"
0070341368305,PROT SOLAR PRINCIPIA CORPORAL FPS99 PS-03 200ML,D,,"62,30","89,00","89,00"
0070341368305,PROT SOLAR PRINCIPIA CORPORAL FPS99 PS-03 200ML,E,,"62,30","89,00","89,00"
0070341370810,AGUA OXIGENADA ACEMAR 10 VOLUME 90ML,C,,"1,44","2,90","2,90"
0070341370827,AGUA OXIGENADA ACEMAR 20 VOLUME 90ML,C,,"1,44","2,90","2,90"
0070341370834,AGUA OXIGENADA ACEMAR 30 VOLUME 90ML,B,,"1,44","2,90","2,90"
0070341370841,AGUA OXIGENADA ACEMAR 40 VOLUME 90ML,C,,"1,44","2,90","2,90"
0070341386064,REMOVEDOR DE ESMALTES SEM ACETONA MORANGO 90ML ACEMAR,C,,"2,98","4,50","4,50"
0070341386064,REMOVEDOR DE ESMALTES SEM ACETONA MORANGO 90ML ACEMAR,E,,"2,86","4,50","4,50"
0070341386095,REMOVEDOR DE ESMALTES SEM ACETONA UVA 90ML ACEMAR,E,,"3,70","5,90","5,90"
