ean,name,drogal_price,drogasil_price,drogal_observation,drogasil_observation
"5000456060721","Daxas 500mcg 30 Comprimidos Revestidos","259,15","286,99","",""
"5000456070386","Crestor 40mg caixa com 30 comprimidos revestidos","383,65","337,71","",""
"5000456070423","Forxiga 10mg 30 Comprimidos Revestidos","197,93","173,98","",""
"5000456073240","Edistride 10mg 30 Comprimidos Revestidos","211,77","138,56","",""
"5000456078238","Dapagliflozina 10mg Astrazeneca 30 Comprimidos Revestidos","124,09","125,99","",""
"5060632500847","Colpotrofine 10mg/g Creme Vaginal 30g  +  20 Aplicadores","91,19","","",""
"5060632500854","Colpotrofine 10mg 20 Cápsulas Vaginais","85,79","92,49","",""
"5060632500878","Estreva 0,1% Gel 50g","79,19","85,99","",""
"5060632506139","Actonel 150mg 1 Comprimido Revestido","207,39","207,98","",""
"5060632506146","Actonel Chronos 35mg 4 Comprimidos Revestidos de Liberação Retardada","225,59","227,99","",""
"5060632508478","Systen 25mcg/dia 8 Adesivos Transdérmicos","113,59","117,49","",""
"5060632508485","Systen 50mcg/dia 8 Adesivos Transdérmicos","118,59","118,49","",""
"5060632508508","Systen Conti 8 Adesivos Transdérmicos","121,49","119,99","",""
"5060632508515","Systen Sequi 8 Adesivos Transdérmicos","129,79","134,99","",""
"5060632508768","Stezza 28 Comprimidos Revestidos","47,79","46,79","",""
"5413787002795","Keppra 250mg cx 30 comp rev","71,39","72,99","",""
"5413787003792","Keppra 250mg 60 Comprimidos Revestidos","185,78","132,01","",""
"5413787004799","Keppra 750mg cx 30 comp rev","385,60","197,44","",""
"5413787005796","Keppra 750mg 60 Comprimidos","771,13","394,83","",""
"5413787006793","Keppra 100mg/ml sol or fr 150ml+ser 3ml","160,83","","",""
"5413787008797","Vimpat 100mg 28 Comprimidos Revestidos","295,99","234,22","",""
"5413787012794","Vimpat Lacosamida 200mg 28 comprimidos","","387,01","",""
"5413787037797","Zyxem 5mg/ml Solução Oral 20ml","69,90","94,18","",""
"5413787041794","Zyxem 5mg 10 Comprimidos","49,90","74,86","",""
"5413787052790","Keppra XR 500mg 60 Comprimidos","284,90","264,09","",""
"5413787053797","Keppra XR 750mg 60 Comprimidos","409,99","396,16","",""
"5702150142368","Ebix 20mg cx 30 comp","330,99","354,98","",""
"5702150142948","Lexapro 10mg 30 Comprimidos Revestidos","230,69","227,98","",""
"5702150142986","Lexapro 15mg 30 Comprimidos Revestidos","261,29","261,98","",""
"5702150143006","Lexapro 20mg 30 Comprimidos","362,29","366,00","",""
"5702150151186","Lexapro 10mg 60 Comprimidos Revestidos","340,59","344,98","",""
"5702150152145","Rexulti 0,5mg 30 Comprimidos","225,79","220,99","",""
"5702150152169","Rexulti 1mg 30 Comprimidos","284,33","290,00","",""
"5702150152176","Rexulti 2mg 30 Comprimidos","390,19","396,97","",""
"5702150152183","Rexulti 3mg 30 Comprimidos","523,09","545,98","",""
"5702150152619","Brintellix 20mg 30 Comprimidos Revestidos","427,59","430,01","",""
"5702150153883","Vurtuoso 10mg 30 Comprimidos","182,39","174,00","",""
"5702150153890","Vurtuoso 15mg 30 Comprimidos Revestidos","224,69","224,00","",""
"5702150153906","Vurtuoso 20mg 30 Comprimidos","290,99","284,98","",""
"5702150153937","Vurtuoso 5mg 30 Comprimidos","148,39","151,99","",""
"5702150154279","Cipramil 20mg 28 Comprimidos Revestidos","300,09","","",""
"5702150154286","Clopixol Depot 200mg/ml Solução Injetável 1ml","91,49","102,99","",""
"5702150155481","Vurtuoso 10mg 60 Comprimidos Revestidos","323,99","333,98","",""
"5702150155504","Vurtuoso 15mg 60 Comprimidos Revestidos","419,09","431,98","",""
"5702150155511","Vurtuoso 20mg 60 Comprimidos Revestidos","540,39","555,99","",""
"5702150155740","LEXAPRO 15MG 60 COMPRIMIDOS C1","","600,50","",""
"5702157106509","Cipramil Bromidrato de Citalopram 20mg 28 Comprimidos","","321,00","",""
"5702157108220","Clopixol Acuphase Acetato de Zuclopentixol 50mg/ml solução injetável 1ml","","53,79","",""
"5702157108411","Clopixol 10mg 20 Comprimidos Revestidos","49,59","51,79","",""
"5702157108459","Clopixol 25mg 20 Comprimidos Revestidos","99,89","110,99","",""
"5702157127054","Ebix 10mg caixa com 28 comprimidos","183,99","206,99","",""
"5702157127153","Ebix 10mg caixa com 56 comprimidos","370,59","377,97","",""
"5702157141326","Lexapro 20mg frasco com 15ml","267,99","280,98","",""
"5702157141920","Brintellix 5Mg 30 comprimidos","201,89","211,00","",""
"5702157141951","Brintellix 10mg com 30 comprimidos","314,69","344,99","",""
"5702157141968","Brintellix 10mg 60 Comprimidos Revestidos","588,89","578,96","",""
"5702157142026","Brintellix 15mg 60 Comprimidos Revestidos","617,69","598,02","",""
"5702191007916","Daivobet Pomada Dermatológica 30g","133,79","134,99","",""
"5702191007947","Daivonex 50mcg pomada dermatológica bisnaga com 30g","120,49","120,99","",""
"5702191007961","Verutex B 20 + 1mg Creme Dermatológico Bisnaga 15g","84,49","","",""
"5702191007985","Verutex 20mg/g Creme Dermatológico 15g","67,79","73,49","",""
"5702191008753","Daivobet Gel Dermatológico 30g","129,59","128,98","",""
"5702191025521","Azelan 200mg/g Creme Dermatológico 30g","73,89","","",""
"5702191025538","Advantan 1mg/ml solução gotas 20ml","88,11","","",""
"5702191025545","Icaden Isoconazol 10mg/ml Solução Tópica 30ml","","62,59","",""
"5702191025576","Icaden Spray 10mg/ml Frasco 50ml","98,59","98,99","",""
"5702191025583","Advantan 1mg/g creme com 15g","70,99","69,99","",""
"5702191025590","Advantan 1mg/g loção frasco com 20g","82,96","98,00","",""
"5702191025620","Icaden Creme 20g","44,09","44,39","",""
"5702191025637","Azelan 150mg/g Gel Dermatológico 30g","72,45","68,00","",""
"5702191025644","Icacort 1 + 10mg/g creme bisnaga com 30g","36,49","37,79","",""
"5702191026641","Protopic 0,3mg/g Pomada Dermatológica 10g","96,89","90,69","",""
"5702191026658","Protopic 10mg pomada dermatológica bisnaga contendo 10 g","96,39","86,73","",""
"5702191026665","Protopic 0,1% pomada dermatológica bisnaga contendo 30g","162,89","162,24","",""
"5702191027068","Fucidin 20mg/g Pomada Dermatológica 15g","71,99","64,52","",""
"7500435121965","Metamucil 0,492g/g em Pó Sabor Original 210g","97,09","100,49","",""
"7500435144384","Xarope Expectorante Vick 44E Solução Oral 240ml","66,29","69,19","",""
"7500435153072","Xarope Vick Pediátrico 200mg/15ml Expectorante 120ml","27,90","37,59","",""
"7500435157599","Descongestionante Vick VapoRub 100g","75,89","79,49","",""
"7500435188050","Vick Pyrena Grip 7 com 10 Cápsulas","10,85","13,88","",""
"7500435188067","Vick Pyrena Grip-7 20 Cápsulas","17,95","22,69","",""
"7500435188524","Vick Pyrena Grip 7 com 5 Cápsulas","6,29","7,74","",""
"7500435191791","Citoneurin Control 1000mg 30 Comprimidos Revestidos","87,69","91,99","",""
"7500435201643","Sonozzz Passiflora 857mg 30 Comprimidos Revestidos","70,39","79,49","",""
"7500435201650","Sonozzz Passiflora 857mg 8 Comprimidos Revestidos","20,55","25,59","",""
"7500435209786","Xarope Expectorante Vick Mel Solução Oral 100ml","30,29","37,59","",""
"7500435225434","Citoneurin 1000mg 60 Comprimidos Revestidos","151,49","158,99","",""
"7500435225458","Citoneurin 1000mg 90 Comprimidos Revestidos","199,79","214,99","",""
"7500435230957","Citoneurin 5000mg 30 Comprimidos Revestidos","76,99","79,99","",""
"7500435230964","Citoneurin 5000mg 60 Comprimidos Revestidos","167,09","177,00","",""
"7500435230971","Citoneurin Control 5000 90 Comprimidos Revestidos","231,99","225,00","",""
"7501001310288","Vick Pyrena Sabor Mel e Limão 5 Sachês 5g Cada","18,49","20,39","",""
"7590002012468","Descongestionante Vick VapoRub 50g","45,30","47,99","",""
"7590002023228","Xarope Expectorante Vick 44E Solução Oral 120ml","30,59","38,19","",""
"7590002032817","Descongestionante Vick VapoRub 30g","33,55","35,19","",""
"7793640000143","Aspirina 500mg 20 Comprimidos","9,49","15,69","",""
"7891010246952","Tylenol Sinus 36 Comprimidos Revestidos","30,89","30,59","",""
"7891010255855","Tylenol DC Múltiplas Dores Paracetamol 1g + Cafeína 130mg 20 Comprimidos Revestidos","30,40","35,79","",""
"7891010256357","Daktarin 20mg gel bisnaga com 40g","45,59","","",""
"7891010256364","Imosec 2mg 12 Comprimidos","10,09","10,19","",""
"7891010256371","Mylicon 75mg solução frasco com 15ml","32,89","","",""
"7891010256401","Motilium 10mg 90 Comprimidos","75,59","","",""
"7891010256425","Mylanta Plus Suspensão Oral Sabor Menta 240ml","45,19","","",""
"7891010256432","Mylanta Plus Suspensão Oral Sabor Morango 240ml","46,79","","",""
"7891010256609","Tylenol Dor e Febre 10 Comprimidos Revestidos","17,29","19,99","",""
"7891010256623","Tylenol Dor no Corpo 750mg 30 Comprimidos Revestidos","57,89","60,00","",""
"7891010256630","Tylenol Dor de Cabeça 10 Comprimidos Revestidos","18,39","21,52","",""
"7891010256661","Tylenol Múltiplas Dores 500mg 4 Comprimidos Revestidos","6,89","8,04","",""
"7891010256685","Pastilha Benalet Mel e Limão 4 unidades","","14,90","",""
"7891010256692","Pastilha Benalet Menta 4 unidades","","14,90","",""
"7891010256708","Tylenol 750mg 20 Comprimidos Revestidos","32,15","35,19","",""
"7891010256715","Tylenol Múltiplas Dores 750mg 10 Comprimidos Revestidos","18,59","19,11","",""
"7891010256722","Tylenol Paracetamol 750mg 4 comprimidos","","9,89","",""
"7891010970871","Nicorette 2mg Sabor Icemint 30 Gomas Mastigáveis","78,79","79,99","",""
"7891010970888","Nicorette 4mg Sabor Icemint 30 Gomas Mastigáveis","80,79","78,99","",""
"7891010986155","Tylenol Múltiplas Dores 500mg 20 Comprimidos Revestidos","28,00","33,19","",""
"7891035001109","Nuromol 12 Comprimidos Revestidos","24,69","31,79","","Leve 2 unidades por R$ 23,84 cada"
"7891035001116","Nuromol 6 Comprimidos Revestidos","13,39","16,44","",""
"7891035010842","Strepsils 8,75mg Sabor Mel e Limão 8 Pastilhas","14,39","14,39","",""
"7891035010866","Strepsils 8,75mg Sabor Mel e Limão 16 Pastilhas","26,79","27,29","",""
"7891035010958","Strepsils 8,75mg Sabor Laranja Sem Açucar 8 Pastilhas","15,19","15,49","",""
"7891035010972","Strepsils 8,75mg Sabor Laranja Sem Açucar 16 Pastilhas","25,90","29,49","",""
"7891035650130","LuftaGastro Pronto para Tomar Sabor Menta Sachê Líquido 10ml","4,09","","",""
"7891035650147","LuftaGastroPro Suspensão Oral Sabor Menta 12 Sachês Líquidos 10ml","39,89","45,28","","Leve 2 unidades por R$ 38,49 cada"
"7891045006217","Eranz Cloridrato de Donepezila 5mg 28 comprimidos","","481,81","",""
"7891045006231","Eranz Cloridrato de Donepezila 10mg 28 Comprimidos","","535,38","",""
"7891045008396","Lorax 1mg 30 Comprimidos","33,59","33,79","",""
"7891045008402","Lorax 2mg 30 Comprimidos","45,79","46,99","",""
"7891045008433","Nordette 015 + 003mg caixa com 21 drágeas","9,69","12,49","",""
"7891045008440","Nordette 015 + 003mg caixa com 63 drágeas","32,39","34,39","",""
"7891045013130","Pristiq 50mg 28 Comprimidos Revestidos de Liberação Controlada","188,49","191,99","Leve 2 e pague R$158,51 cada",""
"7891045014366","Pristiq 100mg 28 Comprimidos Revestidos de Liberação Controlada","195,09","211,98","Leve 2 e pague R$174,48 cada",""
"7891045031455","Elifore 50 mg - 28 comprimidos revestidos de liberação controlada","135,99","136,00","Leve 2 e pague R$110,96 cada",""
"7891045031493","Elifore 100mg - 28 comprimidos revestidos de liberação controlada","143,79","146,99","Leve 2 e pague R$122,13 cada",""
"7891045164184","Advil Mulher 400mg 10 Cápsulas Líquidas","23,90","","",""
"7891058000103","Analgésico Dorflex Uno Enxaqueca 1g 20 Comprimidos","23,99","24,99","",""
"7891058000165","Analgésico e Antitérmico Novalgina 500mg/ml Gotas 20ml","27,29","28,19","",""
"7891058000172","Analgésico e Antitérmico Novalgina 500mg/ml Gotas 10ml","14,59","14,89","",""
"7891058000936","Succinato de Metoprolol 100mg Medley 30 Comprimidos Revestidos","46,09","52,79","",""
"7891058000943","Succinato de Metoprolol 50mg Medley 30 Comprimidos","28,29","35,79","",""
"7891058000950","Succinato de Metoprolol 25mg Medley 30 Comprimidos Revestidos","15,19","17,89","",""
"7891058001032","Laxante Dulcolax 7,5mg/ml Gotas 30ml","28,99","29,99","",""
"7891058001063","Clexane Safety Lock Enoxaparina Sódica 100mg/1,0ml Solução Injetável com 10 Seringas","","1726,89","",""
"7891058001070","Clexane Safety Lock Enoxaparina Sódica 80mg/0,8ml Solução Injetável com 10 Seringas","","1380,96","",""
"7891058001155","Analgésico e Antitérmico Novalgina 1g 10 Comprimidos","18,39","18,19","",""
"7891058001612","Ciprofibrato 100mg Medley 30 Comprimidos","27,39","24,45","",""
"7891058001667","Cloridrato de Amiodarona 100mg 30 Comprimidos - Medley (G)","16,54","14,95","","Leve 3 unidades por R$ 12,23 cada"
"7891058001681","Cloridrato de Amiodarona 200mg 30 Comprimidos - Medley (G)","21,20","20,09","",""
"7891058001810","Bisolvon 2mg/ml Solução Gotas uso Oral ou Inalatório 40ml","28,79","","",""
"7891058001964","Ondansetrona 4mg 10 Comprimidos Medley Genérico","","19,99","",""
"7891058001971","Ondansetrona 8mg 10 Comprimidos Medley Genérico","","39,19","",""
"7891058002008","Profenid 20mg/ml Frasco 20ml Solução de Uso Oral","39,69","39,39","",""
"7891058002046","Rivaroxabana 10mg 10 Comprimidos Medley Genérico","","49,19","",""
"7891058002077","Rivaroxabana 10mg Medley 30 Comprimidos","59,99","172,99","",""
"7891058002145","Rivaroxabana 15mg Medley 30 Comprimidos","76,29","168,00","",""
"7891058002152","Rivaroxabana 20mg Medley 30 Comprimidos Revestidos","69,09","173,39","",""
"7891058002381","Rosuvastatina Cálcica 5mg - 30 comprimidos Medley Genérico","","23,69","",""
"7891058002398","Rosuvastatina Cálcica 5mg Medley 60 Comprimidos Revestidos","82,42","54,80","",""
"7891058002428","Oxalato de Escitalopram 10mg Medley 60 Comprimidos Revestidos","40,09","51,99","",""
"7891058002565","Analgésico e Antitérmico Novalgina 1g 20 Comprimidos","30,99","31,79","",""
"7891058002572","Antialérgico Allegra 6mg/ml Xarope Pediátrico Uso Oral 150ml + Copinho Dosador","82,19","90,42","",""
"7891058002589","Antialérgico Allegra 6mg/ml Xarope Pediátrico Uso Oral 60ml + Copinho Dosador","29,81","38,81","",""
"7891058002596","Antialérgico Allegra 120mg 2 Comprimidos Revestidos","15,39","18,93","",""
"7891058002602","Dipirona Monoidratada 1g Medley 10 Comprimidos","12,08","13,99","",""
"7891058002657","Hidroclorotiazida 25mg Medley 30 Comprimidos﻿","2,59","2,52","","Leve 3 unidades por R$ 2,06 cada"
"7891058002664","Hidroclorotiazida - Medley 50mg caixa com 20 comprimidos","3,19","3,99","",""
"7891058002688","Dicloridrato de Trimetazidina 35mg Medley 30 Comprimidos Revestidos","43,59","46,99","",""
"7891058002695","Dicloridrato de Trimetazidina 35mg Medley 60 Comprimidos Revestidos de Liberação Prolongada","77,49","94,48","",""
"7891058002701","Antialérgico Allegra 120mg 20 Comprimidos Revestidos","120,39","148,63","",""
"7891058002725","Ibuprofeno 400mg Medley 10 Cápsulas Gel","11,56","10,79","",""
"7891058002961","Cetoprofeno 150mg Medley 10 Comprimidos","15,49","39,04","",""
"7891058002985","Apidra SoloStar 100ui solução injetável 1 carpule contendo 3ml + sistema aplicação","36,94","42,99","",""
"7891058003029","Lantus SoloStar 100ui solução injetável 1 carpule contendo 3ml + 1 aplicador","96,99","107,99","",""
"7891058003159","Olmesartana 20mg 30 comprimidos Medley Genérico","","34,99","",""
"7891058003180","Clexane 20mg com 2 Seringas Preenchidas com 0,2ml de Solução de Uso Subcutâneo ou Intravenoso + Sistema de Segurança","57,46","72,49","",""
"7891058003210","Clexane 40mg/0,4ml 2 Seringas Preenchidas 0,4ml de Solução de Uso Subcutâneo ou Intravenoso + Sistema de Segurança","118,40","114,48","",""
"7891058003227","Apixabana 2,5mg Medley 20 Comprimidos Revestidos","49,89","55,19","",""
"7891058003241","Clexane 60mg 2 Seringas Preenchidas 0,6ml de Solução de Uso Subcutâneo ou Intramuscular + Sistema de Segurança","180,02","171,99","",""
"7891058003258","Apixabana 2,5mg Medley 60 Comprimidos Revestidos","106,69","146,98","",""
"7891058003265","Apixabana 5mg Medley 60 Comprimidos Revestidos","113,68","159,00","",""
"7891058003289","Apixabana 5mg Medley 20 Comprimidos Revestidos","40,79","44,19","",""
"7891058003555","Puran T4 12,5mcg 30 Comprimidos","3,39","3,53","Leve 3 e pague R$2,51 cada",""
"7891058003562","Puran T4 37,5mcg 30 Comprimidos","9,39","9,75","Leve 3 e pague R$7,57 cada","Leve 4 unidades por R$ 6,83 cada"
"7891058003579","Puran T4 62,5mcg 30 Comprimidos","15,79","","Leve 3 e pague R$12,63 cada",""
"7891058003586","Puran T4 300mcg 30 Comprimidos","81,49","","Leve 3 e pague R$60,56 cada",""
"7891058003784","Cloridrato de Trazodona 50mg Medley 60 Comprimidos Revestidos","47,09","59,79","",""
"7891058003845","Cloridrato de Trazodona 100mg Medley 30 Comprimidos Revestidos","52,19","44,39","",""
"7891058003883","Anador 1g 20 comprimidos","25,09","27,69","",""
"7891058003890","Anador 1g 10 Comprimidos","13,99","15,39","",""
"7891058003944","Analgésico e Relaxante Muscular Dorflex Max 8 Comprimidos","15,09","16,57","",""
"7891058003975","Analgésico e Relaxante Muscular Dorflex Max 16 Comprimidos","21,99","22,99","",""
"7891058003982","Succinato de Solifenacina 10mg Medley 30 Comprimidos Revestidos","107,49","114,49","",""
"7891058003999","Succinato de Solifenacina 5mg Medley 30 Comprimidos Revestidos","85,79","93,49","",""
"7891058004347","Antialérgico Allegra Pediátrico 6mg/ml Sabor Framboesa Suspensão Oral 60ml + Seringa Dosadora","32,39","38,81","","Leve 2 unidades por R$ 31,11 cada"
"7891058004354","Antialérgico Allegra Pediátrico 6mg/ml Sabor Framboesa Suspensão Oral 150ml + Seringa Dosadora","76,29","90,42","",""
"7891058004408","Esomeprazol Magnésico 40mg Medley 28 Comprimidos","110,99","177,69","",""
"7891058004422","Esomeprazol Magnésico 20mg Medley 28 Comprimidos","49,57","","",""
"7891058004460","Clexane 40mg/0,4ml 6 Seringas Preenchidas 0,4ml de Solução de Uso Subcutâneo ou Intravenoso + Sistema de Segurança","355,20","303,00","",""
"7891058005474","Analgésico Dorflex Dip 1g 10 Comprimidos","9,99","11,34","",""
"7891058005481","Cloridrato de Naratriptana 2,5mg Medley 4 Comprimidos","12,39","12,49","",""
"7891058005498","Cloridrato de Naratriptana 2,5mg Medley 10 Comprimidos","26,39","29,09","",""
"7891058005535","Stilnox 12,5mg 28 Comprimidos de Liberação Prolongada","120,83","149,17","",""
"7891058005542","Stilnox 6,25mg 28 Comprimidos de Liberação Prolongada","62,99","67,59","",""
"7891058005559","Stilnox 10mg 28 Comprimidos Revestidos","136,99","137,00","",""
"7891058005566","Analgésico e Antitérmico Novalgina Infantil 50mg/ml Sabor Framboesa Solução Oral 100ml + Copo Dosador","33,99","47,54","",""
"7891058005610","Cloridrato de Fexofenadina 120mg Medley 10 Comprimidos Revestidos","26,09","","",""
"7891058005627","Cloridrato de Fexofenadina 180mg Medley 10 Comprimidos Revestidos","34,79","82,06","",""
"7891058005658","Prednisona 5mg Medley 20 Comprimidos","8,89","9,35","",""
"7891058005665","Prednisona 20mg 10 comprimidos Medley Genérico","","14,79","",""
"7891058005672","Prednisona 20mg Medley 30 Comprimidos","55,99","","",""
"7891058005825","Cloridrato de Trazodona 150mg Medley 30 Comprimidos de Liberação Prolongada","72,90","103,99","",""
"7891058006235","Stilnox CR 625mg caixa com 20 comprimidos","42,99","45,25","",""
"7891058006259","Stilnox CR 12,5mg 20 Comprimidos de Liberação Prolongada","94,49","90,55","",""
"7891058006716","Allegra D 60mg + 120mg 10 Comprimidos Revestidos de Camada Dupla","69,29","54,42","",""
"7891058008116","Arava 20mg 30 Comprimidos Revestidos","635,49","664,02","",""
"7891058008635","Analgésico e Antitérmico Novalgina 500mg 30 Comprimidos","39,39","39,79","",""
"7891058009205","Lantus 100ui solução injetável caixa com 1 frasco-ampola contendo 10ml","272,47","287,98","",""
"7891058009458","Analgésico e Relaxante Muscular Dorflex Gotas 20ml","19,79","24,71","",""
"7891058013226","Aprozide 300 + 12,5mg 30 Comprimidos Revestidos","176,49","200,99","",""
"7891058015756","Analgésico e Antitérmico Novalgina 1g 10 Comprimidos Efervescentes","32,29","35,84","",""
"7891058017507","Analgésico e Relaxante Muscular Dorflex 36 Comprimidos","16,49","17,49","",""
"7891058020316","Colírio Moura Brasil Solução Oftálmica 20ml","16,99","17,99","",""
"7891058020323","Toujeo 300U/1,5ml + 1 caneta aplicadora","211,29","240,64","",""
"7891058020941","Analgésico e Relaxante Muscular Dorflex 50 Comprimidos","23,89","27,99","",""
"7891058020958","Soliqua 300U/150mcg 3ml 1 Unidade","171,88","","",""
"7891058020965","Soliqua 30-60 300U/3ml + 99Mcg/3ml","171,88","","",""
"7891058021528","Laxante Dulcolax 5mg 20 Comprimidos Revestidos de Liberação Retardada","14,95","16,49","",""
"7891058021566","Mucosolvan 30mg/5ml xarope frasco com 120ml adulto","48,59","","",""
"7891058021573","Mucosolvan Pediátrico 15mg/5ml Xarope 120ml","35,99","36,39","",""
"7891058021580","Anador 500mg Frasco Gotejador 20ml","21,99","","",""
"7891058021597","Anador 500mg 24 Comprimidos","24,69","","",""
"7891058021610","Bisolvon 8mg/5ml Xarope Adulto Sabor Cereja 120ml","27,29","32,59","",""
"7891058021627","Bisolvon 4mg/5ml Xarope Infantil Sabor Morango 120ml","19,80","24,59","",""
"7891058021689","Guttalax 7,5mg/ml solução oral 30ml","36,89","","",""
"7891058021900","Dactil-OB 30 Drágeas","21,99","25,99","",""
"7891058021931","Suplemento Alimentar Targifor + C 16 Comprimidos Efervescentes","36,99","","",""
"7891058021948","Urbanil 10mg caixa com 20 comprimidos","16,19","18,09","",""
"7891058021955","Urbanil 20mg caixa com 20 comprimidos","31,29","32,39","",""
"7891058022136","Analgésico e Relaxante Muscular Dorflex 24 Comprimidos","14,60","18,32","",""
"7891058022778","Allenasal 16,5ml 120 Doses","63,19","54,31","",""
"7891058022792","Analgésico Dorflex Uno Enxaqueca 1g 10 Comprimidos Efervescentes","27,49","","",""
"7891058022815","Analgésico Dorflex Uno Enxaqueca 1g 10 Comprimidos","14,49","15,49","",""
"7891058024314","Antialérgico Allegra 60mg 10 Comprimidos Revestidos","40,69","46,02","",""
"7891058025137","Lantus 100ui solução injetável caixa com 1 carpule contendo 3ml","87,84","101,49","",""
"7891058027117","Apidra 100ui solução injetável frasco contendo 10ml","126,24","136,48","",""
"7891058030124","Equilid 200mg caixa com 20 comprimidos","31,29","33,19","",""
"7891058030216","Equilid 50mg 20 Cápsulas","17,29","17,59","",""
"7891058034092","Carbonato de Cálcio Os-Cal 500mg 60 Comprimidos Revestidos","90,51","","",""
"7891058059149","Plasil 10mg caixa com 20 comprimidos","12,69","12,99","",""
"7891058060336","Rifaldin 300mg 6 Cápsulas Duras","24,29","23,29","",""
"7891058061562","Rifocina Spray 10mg solução tópica spray frasco com 20ml","36,59","40,59","",""
"7891058168049","Antialérgico Allegra 120mg 10 Comprimidos Revestidos","62,49","82,17","",""
"7891058169015","Antialérgico Allegra 180mg 10 Comprimidos Revestidos","113,29","100,14","",""
"7891058212070","Daonil 5mg caixa com 30 comprimidos","19,49","22,09","",""
"7891058226718","Sabril 500mg 60 Comprimidos Revestidos","398,29","411,98","",""
"7891058263096","Esperson 25mg pomada dermatológica bisnaga com 20g","42,59","","",""
"7891058271008","Dermatop 25mg creme dermatológico bisnaga com 20g","67,59","77,49","",""
"7891058325039","Frisium 10mg caixa com 20 comprimidos","19,39","22,09","",""
"7891058326005","Frisium 20mg caixa com 20 comprimidos","35,49","38,79","",""
"7891058431037","Lasix 40mg caixa com 20 comprimidos","18,87","22,29","",""
"7891058433086","Lasix 10mg solução injetável caixa com 5 ampolas com 2ml","11,45","13,99","",""
"7891058464073","Analgésico e Antitérmico Novalgina Infantil 50mg/ml Sabor Framboesa Solução Oral 100ml + Seringa Dosadora","33,99","42,79","",""
"7891058467098","Analgésico e Antitérmico Novalgina Infantil 300mg 5 Supositórios","19,79","20,09","",""
"7891058487096","Novalgina 500mg/ml Solução Oral Bisnaga Gotejadora10 ml","13,15","","",""
"7891104193353","Humectol D 20 Comprimidos Revestidos","16,79","17,29","",""
"7891106000888","Aspirina C Ácido Acetilsalicílico 400mg + Ácido Ascórbico 240mg 2 comprimidos","","8,39","",""
"7891106000956","Baycuten N 10 + 0443mg/g creme bisnaga com 40g","38,69","43,59","",""
"7891106001755","Gino Canesten Comprimido Vaginal 500mg - 1 Unidade + 1 Aplicador","","79,99","",""
"7891106001762","Creme Vaginal 50mg/5g Gino-Canesten 35g + 6 Aplicadores","68,99","68,99","",""
"7891106001946","Aspirina Prevent 100mg 30 Comprimidos Revestidos","19,49","19,89","",""
"7891106003230","Creme Vaginal 100mg/5g Gino-Canesten 20g + 3 Aplicadores","77,99","77,99","",""
"7891106003377","Avalox 400mg 5 Comprimidos Revestidos","215,79","","",""
"7891106004213","Aspirina Ácido Acetilsalicílico 500mg 10 comprimidos","","11,19","",""
